AID,Year,Title,Abstract,Authors,Link,DOI
http://arxiv.org/abs/1907.10213v1,2019,"Image Super-Resolution Using a Wavelet-based Generative Adversarial
  Network","  In this paper, we consider the problem of super-resolution recons-truction.
This is a hot topic because super-resolution reconstruction has a wide range of
applications in the medical field, remote sensing monitoring, and criminal
investigation. Compared with traditional algorithms, the current
super-resolution reconstruction algorithm based on deep learning greatly
improves the clarity of reconstructed pictures. Existing work like
Super-Resolution Using a Generative Adversarial Network (SRGAN) can effectively
restore the texture details of the image. However, experimentally verified that
the texture details of the image recovered by the SRGAN are not robust. In
order to get super-resolution reconstructed images with richer high-frequency
details, we improve the network structure and propose a super-resolution
reconstruction algorithm combining wavelet transform and Generative Adversarial
Network. The proposed algorithm can efficiently reconstruct high-resolution
images with rich global information and local texture details. We have trained
our model by PyTorch framework and VOC2012 dataset, and tested it by Set5,
Set14, BSD100 and Urban100 test datasets.
",Qi Zhang; Huafeng Wang; Sichen Yang,http://arxiv.org/abs/1907.10213v1,10.48550/arXiv.1907.10213
http://arxiv.org/abs/2001.08073v2,2020,"ESRGAN+ : Further Improving Enhanced Super-Resolution Generative
  Adversarial Network","  Enhanced Super-Resolution Generative Adversarial Network (ESRGAN) is a
perceptual-driven approach for single image super resolution that is able to
produce photorealistic images. Despite the visual quality of these generated
images, there is still room for improvement. In this fashion, the model is
extended to further improve the perceptual quality of the images. We have
designed a novel block to replace the one used by the original ESRGAN.
Moreover, we introduce noise inputs to the generator network in order to
exploit stochastic variation. The resulting images present more realistic
textures. The code is available at https://github.com/ncarraz/ESRGANplus .
",Nathanaël Carraz Rakotonirina; Andry Rasoanaivo,http://arxiv.org/abs/2001.08073v2,10.1109/ICASSP40776.2020.9054071
http://arxiv.org/abs/1809.04783v2,2018,"Generative adversarial network-based image super-resolution using
  perceptual content losses","  In this paper, we propose a deep generative adversarial network for
super-resolution considering the trade-off between perception and distortion.
Based on good performance of a recently developed model for super-resolution,
i.e., deep residual network using enhanced upscale modules (EUSR), the proposed
model is trained to improve perceptual performance with only slight increase of
distortion. For this purpose, together with the conventional content loss,
i.e., reconstruction loss such as L1 or L2, we consider additional losses in
the training phase, which are the discrete cosine transform coefficients loss
and differential content loss. These consider perceptual part in the content
loss, i.e., consideration of proper high frequency components is helpful for
the trade-off problem in super-resolution. The experimental results show that
our proposed model has good performance for both perception and distortion, and
is effective in perceptual super-resolution applications.
",Manri Cheon; Jun-Hyuk Kim; Jun-Ho Choi; Jong-Seok Lee,http://arxiv.org/abs/1809.04783v2,10.48550/arXiv.1809.04783
http://arxiv.org/abs/2109.08770v2,2021,WiSoSuper: Benchmarking Super-Resolution Methods on Wind and Solar Data,"  The transition to green energy grids depends on detailed wind and solar
forecasts to optimize the siting and scheduling of renewable energy generation.
Operational forecasts from numerical weather prediction models, however, only
have a spatial resolution of 10 to 20-km, which leads to sub-optimal usage and
development of renewable energy farms. Weather scientists have been developing
super-resolution methods to increase the resolution, but often rely on simple
interpolation techniques or computationally expensive differential
equation-based models. Recently, machine learning-based models, specifically
the physics-informed resolution-enhancing generative adversarial network
(PhIREGAN), have outperformed traditional downscaling methods. We provide a
thorough and extensible benchmark of leading deep learning-based
super-resolution techniques, including the enhanced super-resolution generative
adversarial network (ESRGAN) and an enhanced deep super-resolution (EDSR)
network, on wind and solar data. We accompany the benchmark with a novel
public, processed, and machine learning-ready dataset for benchmarking
super-resolution methods on wind and solar data.
",Rupa Kurinchi-Vendhan; Björn Lütjens; Ritwik Gupta; Lucien Werner; Dava Newman,http://arxiv.org/abs/2109.08770v2,10.48550/arXiv.2109.08770
http://arxiv.org/abs/2004.13674v1,2020,"Residual Channel Attention Generative Adversarial Network for Image
  Super-Resolution and Noise Reduction","  Image super-resolution is one of the important computer vision techniques
aiming to reconstruct high-resolution images from corresponding low-resolution
ones. Most recently, deep learning-based approaches have been demonstrated for
image super-resolution. However, as the deep networks go deeper, they become
more difficult to train and more difficult to restore the finer texture
details, especially under real-world settings. In this paper, we propose a
Residual Channel Attention-Generative Adversarial Network(RCA-GAN) to solve
these problems. Specifically, a novel residual channel attention block is
proposed to form RCA-GAN, which consists of a set of residual blocks with
shortcut connections, and a channel attention mechanism to model the
interdependence and interaction of the feature representations among different
channels. Besides, a generative adversarial network (GAN) is employed to
further produce realistic and highly detailed results. Benefiting from these
improvements, the proposed RCA-GAN yields consistently better visual quality
with more detailed and natural textures than baseline models; and achieves
comparable or better performance compared with the state-of-the-art methods for
real-world image super-resolution.
",Jie Cai; Zibo Meng; Chiu Man Ho,http://arxiv.org/abs/2004.13674v1,10.48550/arXiv.2004.13674
http://arxiv.org/abs/1903.11821v1,2019,"SRDGAN: learning the noise prior for Super Resolution with Dual
  Generative Adversarial Networks","  Single Image Super Resolution (SISR) is the task of producing a high
resolution (HR) image from a given low-resolution (LR) image. It is a well
researched problem with extensive commercial applications such as digital
camera, video compression, medical imaging and so on. Most super resolution
works focus on the features learning architecture, which can recover the
texture details as close as possible. However, these works suffer from the
following challenges: (1) The low-resolution (LR) training images are
artificially synthesized using HR images with bicubic downsampling, which have
much richer-information than real demosaic-upscaled mobile images. The mismatch
between training and inference mobile data heavily blocks the improvement of
practical super resolution algorithms. (2) These methods cannot effectively
handle the blind distortions during super resolution in practical applications.
In this work, an end-to-end novel framework, including high-to-low network and
low-to-high network, is proposed to solve the above problems with dual
Generative Adversarial Networks (GAN). First, the above mismatch problems are
well explored with the high-to-low network, where clear high-resolution image
and the corresponding realistic low-resolution image pairs can be generated.
Moreover, a large-scale General Mobile Super Resolution Dataset, GMSR, is
proposed, which can be utilized for training or as a fair comparison benchmark
for super resolution methods. Second, an effective low-to-high network (super
resolution network) is proposed in the framework. Benefiting from the GMSR
dataset and novel training strategies, the super resolution model can
effectively handle detail recovery and denoising at the same time.
",Jingwei Guan; Cheng Pan; Songnan Li; Dahai Yu,http://arxiv.org/abs/1903.11821v1,10.48550/arXiv.1903.11821
http://arxiv.org/abs/1911.10773v2,2019,"Fine-grained Attention and Feature-sharing Generative Adversarial
  Networks for Single Image Super-Resolution","  The traditional super-resolution methods that aim to minimize the mean square
error usually produce the images with over-smoothed and blurry edges, due to
the lose of high-frequency details. In this paper, we propose two novel
techniques in the generative adversarial networks to produce photo-realistic
images for image super-resolution. Firstly, instead of producing a single score
to discriminate images between real and fake, we propose a variant, called
Fine-grained Attention Generative Adversarial Network for image
super-resolution (FASRGAN), to discriminate each pixel between real and fake.
FASRGAN adopts a Unet-like network as the discriminator with two outputs: an
image score and an image score map. The score map has the same spatial size as
the HR/SR images, serving as the fine-grained attention to represent the degree
of reconstruction difficulty for each pixel. Secondly, instead of using
different networks for the generator and the discriminator in the SR problem,
we use a feature-sharing network (Fs-SRGAN) for both the generator and the
discriminator. By network sharing, certain information is shared between the
generator and the discriminator, which in turn can improve the ability of
producing high-quality images. Quantitative and visual comparisons with the
state-of-the-art methods on the benchmark datasets demonstrate the superiority
of our methods. The application of super-resolution images to object
recognition further proves that the proposed methods endow the power to
reconstruction capabilities and the excellent super-resolution effects.
",Yitong Yan; Chuangchuang Liu; Changyou Chen; Xianfang Sun; Longcun Jin; Xiang Zhou,http://arxiv.org/abs/1911.10773v2,10.48550/arXiv.1911.10773
http://arxiv.org/abs/2211.00577v5,2022,"Fine-tuned Generative Adversarial Network-based Model for Medical Images
  Super-Resolution","  In medical image analysis, low-resolution images negatively affect the
performance of medical image interpretation and may cause misdiagnosis. Single
image super-resolution (SISR) methods can improve the resolution and quality of
medical images. Currently, Generative Adversarial Networks (GAN) based
super-resolution models have shown very good performance. Real-Enhanced
Super-Resolution Generative Adversarial Network (Real-ESRGAN) is one of the
practical GAN-based models which is widely used in the field of general image
super-resolution. One of the challenges in the field of medical image
super-resolution is that, unlike natural images, medical images do not have
high spatial resolution. To solve this problem, we can use transfer learning
technique and fine-tune the model that has been trained on external datasets
(often natural datasets). In our proposed approach, the pre-trained generator
and discriminator networks of the Real-ESRGAN model are fine-tuned using
medical image datasets. In this paper, we worked on chest X-ray and retinal
images and used the STARE dataset of retinal images and Tuberculosis Chest
X-rays (Shenzhen) dataset for fine-tuning. The proposed model produces more
accurate and natural textures, and its outputs have better details and
resolution compared to the original Real-ESRGAN outputs.
",Alireza Aghelan; Modjtaba Rouhani,http://arxiv.org/abs/2211.00577v5,10.48550/arXiv.2211.00577
http://arxiv.org/abs/2205.08659v1,2022,Semantically Accurate Super-Resolution Generative Adversarial Networks,"  This work addresses the problems of semantic segmentation and image
super-resolution by jointly considering the performance of both in training a
Generative Adversarial Network (GAN). We propose a novel architecture and
domain-specific feature loss, allowing super-resolution to operate as a
pre-processing step to increase the performance of downstream computer vision
tasks, specifically semantic segmentation. We demonstrate this approach using
Nearmap's aerial imagery dataset which covers hundreds of urban areas at 5-7 cm
per pixel resolution. We show the proposed approach improves perceived image
quality as well as quantitative segmentation accuracy across all prediction
classes, yielding an average accuracy improvement of 11.8% and 108% at 4x and
32x super-resolution, compared with state-of-the art single-network methods.
This work demonstrates that jointly considering image-based and task-specific
losses can improve the performance of both, and advances the state-of-the-art
in semantic-aware super-resolution of aerial imagery.
",Tristan Frizza; Donald G. Dansereau; Nagita Mehr Seresht; Michael Bewley,http://arxiv.org/abs/2205.08659v1,10.48550/arXiv.2205.08659
http://arxiv.org/abs/1707.00737v1,2017,"High-Quality Face Image SR Using Conditional Generative Adversarial
  Networks","  We propose a novel single face image super-resolution method, which named
Face Conditional Generative Adversarial Network(FCGAN), based on boundary
equilibrium generative adversarial networks. Without taking any facial prior
information, our method can generate a high-resolution face image from a
low-resolution one. Compared with existing studies, both our training and
testing phases are end-to-end pipeline with little pre/post-processing. To
enhance the convergence speed and strengthen feature propagation, skip-layer
connection is further employed in the generative and discriminative networks.
Extensive experiments demonstrate that our model achieves competitive
performance compared with state-of-the-art models.
",Huang Bin; Chen Weihai; Wu Xingming; Lin Chun-Liang,http://arxiv.org/abs/1707.00737v1,10.48550/arXiv.1707.00737
