"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Remote Sensing Image Fusion Using Ripplet Transform and Compressed Sensing","M. Ghahremani; H. Ghassemian","Faculty of Electrical and Computer Engineering, Tarbiat Modares University, Tehran, Iran; Faculty of Electrical and Computer Engineering, Tarbiat Modares University, Tehran, Iran","IEEE Geoscience and Remote Sensing Letters","16 Sep 2014","2015","12","3","502","506","In this letter, we propose a novel remote sensing image fusion method based on the ripplet transform and the compressed sensing (CS) theory. The ripplet transform generalizes the curvelet transform by adding two parameters, namely, support c and degree d. These parameters provide the ripplet transform with anisotropy capability of representing singularities along arbitrarily shaped curves, and the curvelet transform is just a special case of the ripplet transform with c=1 and d=2. In the proposed method, the spatial details are first extracted from the PAN image by means of ripplets, and then, they are injected into the MS bands by the proposed injection model named CS-based injection. The aim of this model, which is based on the CS theory, is to minimize the spectral distortion in the pan-sharpened MS bands with respect to the original ones. The experimental results carried out on IKONOS and QuickBird data sets demonstrate that the proposed method provides better fused images in terms of the visual and quantitative evaluations.","1558-0571","","10.1109/LGRS.2014.2347955","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6883128","Compressed sensing (CS);curvelet transform;image fusion;multiresolution analysis (MRA);ripplet transform;sparse representation;Compressed sensing (CS);curvelet transform;image fusion;multiresolution analysis (MRA);ripplet transform;sparse representation","Transforms;Remote sensing;Image fusion;Spatial resolution;Vectors;Dictionaries","compressed sensing;curvelet transforms;geophysical techniques;image fusion;remote sensing","ripplet transform;remote sensing image fusion method;compressed sensing theory;CS theory;curvelet transform;singularity anisotropy capability;shaped curve;PAN image;injection model;CS-based injection;spectral distortion minimization;pan-sharpened MS band;IKONOS data set;QuickBird data set;visual evaluation;quantitative evaluation","","82","","26","IEEE","26 Aug 2014","","","IEEE","IEEE Journals"
"A Remote Sensing Image Fusion Method Based on the Analysis Sparse Model","C. Han; H. Zhang; C. Gao; C. Jiang; N. Sang; L. Zhang","School of Automation, Huazhong University of Science and Technology, Wuhan, China; State Key Laboratory of Information Engineering in Surveying, Mapping, and Remote Sensing and the Collaborative Innovation Center for Geospatial Technology, Wuhan University, Wuhan University, China; School of Automation, Huazhong University of Science and Technology, Wuhan, China; School of Geodesy and Geomatics, Wuhan University, Wuhan, China; School of Automation, Huazhong University of Science and Technology, Wuhan, China; State Key Laboratory of Information Engineering in Surveying, Mapping, and Remote Sensing and the Collaborative Innovation Center for Geospatial Technology, Wuhan University, Wuhan University, China","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","19 May 2017","2016","9","1","439","453","This paper addresses the remote sensing image fusion problem from the perspective of the analysis sparse model. As an alternative to the synthesis sparse representation approach, the analysis sparse model can yield richer feature representations and better results for image restoration. We, therefore, propose an image fusion method for remote sensing images based on the analysis sparse model. In this method, the analysis operators for the high-resolution multispectral (HR MS) image are trained band by band, directly from the source images, which can greatly improve the adaptability. During the analysis operator learning stage, the geometric analysis operator learning (GOAL) algorithm is utilized with the upsampled low-resolution MS (LR MS) image and the HR panchromatic (HR PAN) image, which does not require an external HR MS image data set. Moreover, the imagery system modulation transfer function (MTF) is considered during the LR MS imaging modeling process, which greatly extends the practical application potential of the proposed method. The simulated and real-data experimental results on IKONOS and QuickBird data sets show that the proposed method can effectively preserve the spectral information and the spatial detail of the image. The fused HR MS images produced by the proposed method are comparable and even superior to the images fused by the other state-of-the-art methods.","2151-1535","","10.1109/JSTARS.2015.2507859","National High-tech Research and Development Program(grant numbers:2013AA12A301); National Natural Science Foundation of China(grant numbers:41571362,61201342,61433007); Key Laboratory of Agri-informatics; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7373564","Analysis operator;analysis sparse model;image fusion;inverse problem;remote sensing;Analysis operator;analysis sparse model;image fusion;inverse problem;remote sensing","Image fusion;Remote sensing;Analytical models;Sparse matrices;Inverse problems;Spatial resolution","geophysical image processing;image fusion;image representation;image resolution;image restoration;image sampling;learning (artificial intelligence);optical transfer function;remote sensing","remote sensing image fusion method;analysis sparse model;synthesis sparse representation approach;image restoration;high-resolution multispectral imaging;HR MS imaging;geometric analysis operator learning algorithm;GOAL algorithm;upsampled low-resolution imaging;LR MS imaging;HR panchromatic imaging;HR PAN imaging;modulation transfer function;MTF;IKONOS data set;QuickBird data set","","30","","65","IEEE","6 Jan 2016","","","IEEE","IEEE Journals"
"Remote Sensing Image Fusion With Deep Convolutional Neural Network","Z. Shao; J. Cai","Collaborative Innovation Center for Geospatial Technology, Wuhan, China; Collaborative Innovation Center for Geospatial Technology, Wuhan, China","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","27 Apr 2018","2018","11","5","1656","1669","Remote sensing images with different spatial and spectral resolution, such as panchromatic (PAN) images and multispectral (MS) images, can be captured by many earth-observing satellites. Normally, PAN images possess high spatial resolution but low spectral resolution, while MS images have high spectral resolution with low spatial resolution. In order to integrate spatial and spectral information contained in the PAN and MS images, image fusion techniques are commonly adopted to generate remote sensing images at both high spatial and spectral resolution. In this study, based on the deep convolutional neural network, a remote sensing image fusion method that can adequately extract spectral and spatial features from source images is proposed. The major innovation of this study is that the proposed fusion method contains a two branches network with the deeper structure which can capture salient features of the MS and PAN images separately. Besides, the residual learning is adopted in our network to thoroughly study the relationship between the high- and low-resolution MS images. The proposed method mainly consists of two procedures. First, spatial and spectral features are respectively extracted from the MS and PAN images by convolutional layers with different depth. Second, the feature fusion procedure utilizes the extracted features from the former step to yield fused images. By evaluating the performance on the QuickBird and Gaofen-1 images, our proposed method provides better results compared with other classical methods.","2151-1535","","10.1109/JSTARS.2018.2805923","National key R & D plan on strategic international scientific and technological innovation cooperation(grant numbers:2016YFE0202300); Fundamental Research Funds for the Central Universities(grant numbers:2042016kf0179,2042016kf1019); Wuhan Chen Guang Project(grant numbers:2016070204010114); Guangzhou science and technology project(grant numbers:201604020070); Special Task of Technical Innovation in Hubei Province(grant numbers:2016AAA018); National Natural Science Foundation of China(grant numbers:61671332,41771452,41771454); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8314460","Deep convolutional neural network;multispectral image;panchromatic image;remote sensing image fusion","Remote sensing;Feature extraction;Image fusion;Spatial resolution;Transforms;Multiresolution analysis","convolution;feature extraction;feedforward neural nets;geophysical image processing;image classification;image fusion;image resolution;remote sensing","deep convolutional neural network;panchromatic images;multispectral images;PAN images;high spatial resolution;low spectral resolution;MS images;high spectral resolution;low spatial resolution;spatial information;spectral information;image fusion techniques;remote sensing images;remote sensing image fusion method;spectral features;spatial features;source images;low-resolution;feature fusion procedure;fused images;spatial resolution","","202","","57","IEEE","12 Mar 2018","","","IEEE","IEEE Journals"
"A Dual-Domain Super-Resolution Image Fusion Method With SIRV and GALCA Model for PolSAR and Panchromatic Images","W. Liu; J. Yang; J. Zhao; F. Guo","School of Geography, Geomatics and Planning, Jiangsu Normal University, Xuzhou, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China; Jiangsu Key Laboratory of Resources and Environmental Information Engineering, School Environment and Spatial Information and China University of Mining and technology, Xuzhou, China; School of Geography, Geomatics and Planning, Jiangsu Normal University, Xuzhou, China","IEEE Transactions on Geoscience and Remote Sensing","25 Feb 2022","2022","60","","1","14","Hyperspectral/multispectral and panchromatic of optical remote sensing images are commonly used for multisensor image fusion, which has been applied in various applications of Earth observation. However, the utilization of optical remote sensing data suffers from the limitation of bad weather and cloud contamination. To address aforementioned issue and enhance spatial details of polarimetric synthetic aperture radar (PolSAR) image, a novel dual-domain super-resolution image fusion method is proposed by combining improved spherically invariant random vector (ISIRV) model with generalized adaptive linear combination approximation (GALCA) technology in this study. The proposed method decomposes the task of image fusion into polarimetric and texture domain fusion by integrating polarimetric components of PolSAR image and texture detail component of panchromatic image, which can significantly improve spatial resolutions of the PolSAR image while preserving polarimetric information. The data fusion experiment is implemented with three data sets including panchromatic images of Gaofen-1 (GF-1) and Gaofen-2 (GF-2) and the quad-pol SAR data of Gaofen-3 (GF-3) and Radarsat-2. Results show that the proposed dual-domain image fusion method provides a better performance compared with state-of-the-art multisensor fusion methods (BT, PCA, GS, indusion, and PRACS) regarding qualitative and quantitative evaluations. In addition, results of image fusion are applied to image classification over agricultural and urban areas of China, which shows that classification accuracy is significantly improved when compared with the result using only the original image.","1558-0644","","10.1109/TGRS.2021.3134099","National Natural Science Foundation of China(grant numbers:41771377,42071295,41901286,62101219); Natural Science Foundation of Jiangsu(grant numbers:BK20201026,BK20210921); Science Foundation of Jiangsu Normal University(grant numbers:19XSRX006); Science and Technology Innovation Key project of Shenzhen(grant numbers:JCYJ20200109150833977); Open Research Fund of Jiangsu Key Laboratory of Resources and Environmental Information Engineering, China University of Mining and Technology(grant numbers:JS202107,JS202108); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643026","Generalized adaptive linear combination approximation (ALCA) method;improved spherically invariant random vector (SIRV) model;polarimetric domain;super-resolution image fusion;texture domain","Image fusion;Optical imaging;Optical sensors;Spatial resolution;Optical scattering;Adaptive optics;Remote sensing","agriculture;geophysical image processing;image classification;image fusion;image resolution;image sensors;radar imaging;radar polarimetry;remote sensing;remote sensing by radar;sensor fusion;synthetic aperture radar","state-of-the-art multisensor fusion methods;image classification;panchromatic image;optical remote sensing images;multisensor image fusion;optical remote sensing data suffers;polarimetric synthetic aperture radar image;novel dual-domain super-resolution image fusion method;spherically invariant random vector model;generalized adaptive linear combination approximation;polarimetric texture domain fusion;PolSAR image;spatial resolutions;data fusion experiment;Gaofen-1;Gaofen-2;Gaofen-3;dual-domain image fusion method","","1","","46","IEEE","8 Dec 2021","","","IEEE","IEEE Journals"
"A New Saliency-Driven Fusion Method Based on Complex Wavelet Transform for Remote Sensing Images","L. Zhang; J. Zhang","College of Information Science and Technology, Beijing Normal University, Beijing, China; College of Information Science and Technology, Beijing Normal University, Beijing, China","IEEE Geoscience and Remote Sensing Letters","4 Dec 2017","2017","14","12","2433","2437","In remote sensing images, demands for spectral and spatial resolution vary from region to region. Regions with abundant texture and well-defined boundaries (like residential areas and roads) need more spatial details to provide better descriptions of various ground objects while regions such as farmland and mountains are mainly discriminated by spectral characteristic. However, most existing fusion algorithms for remote sensing images execute a unified processing in the whole image, leaving those important needs out of consideration. The employment of diverse fusion strategy for regions with different needs can provide an effective solution to this problem. In this letter, we propose a new saliency-driven fusion method based on complex wavelet transform. First, an adaptive saliency detection method based on clustering and spectral dissimilarity is presented to generate saliency factor for indicating diverse needs of the two kinds of resolutions in regions. Then, we combine nonlinear intensity-hue-saturation transform with multiresolution analysis based on dual-tree complex wavelet transform in order to complement each other's advantages. Finally, saliency factor is employed to control the detail injection in the fusion, helping to satisfy different needs of different regions. Experiments reveal the validity and advantages of our proposal.","1558-0571","","10.1109/LGRS.2017.2768070","National Natural Science Foundation of China(grant numbers:41771407,61571050); Beijing Natural Science Foundation(grant numbers:4162033); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8116627","Complex wavelet transform;image fusion;remote sensing;saliency detection;spectral dissimilarity","Remote sensing;Wavelet transforms;Multiresolution analysis;Spatial resolution;Image fusion;Visualization","geophysical image processing;image colour analysis;image fusion;image resolution;image texture;object detection;remote sensing;trees (mathematics);wavelet transforms","remote sensing images;spectral resolution;spatial resolution;residential areas;roads;spectral characteristic;diverse fusion strategy;saliency factor;complex wavelet transform;saliency-driven fusion;adaptive saliency detection;nonlinear intensity-hue-saturation transform;multiresolution analysis;dual-tree complex wavelet transform","","37","","19","IEEE","21 Nov 2017","","","IEEE","IEEE Journals"
"Deep SURE for Unsupervised Remote Sensing Image Fusion","H. V. Nguyen; M. O. Ulfarsson; J. R. Sveinsson; M. Dalla Mura","Department of Electrical and Electronic Engineering, Nha Trang University, Nha Trang, Vietnam; Faculty of Electrical and Computer Engineering, University of Iceland, Reykjavík, Iceland; Faculty of Electrical and Computer Engineering, University of Iceland, Reykjavík, Iceland; Institut Universitaire de France (IUF), Paris, France","IEEE Transactions on Geoscience and Remote Sensing","8 Nov 2022","2022","60","","1","13","Image fusion is utilized in remote sensing (RS) due to the limitation of the imaging sensor and the high cost of simultaneously acquiring high spatial and spectral resolution images. Optical RS imaging systems usually provide images of high spatial resolution but low spectral resolution and vice versa. Therefore, fusing those images to obtain a fused image having both high spectral and spatial resolution is desirable in many applications. This article proposes a fusion framework using an unsupervised convolutional neural network (CNN) and Stein’s unbiased risk estimate (SURE). We derive a new loss function for a CNN that incorporates a backprojection mean square error (MSE) with SURE to estimate the projected mse between the fused image and the ground truth. The main motivation is that training a CNN with this SURE loss function is unsupervised and avoids overfitting. Experimental results for two fusion examples, multispectral and hyperspectral (MS–HS) image fusion and multispectral and multispectral (MS–MS) image fusion, show that the proposed method yields high-quality fused images and outperforms the competitive methods. Codes are available at https://github.com/hvn2/Deep-SURE-Fusion.","1558-0644","","10.1109/TGRS.2022.3215902","Icelandic Research Fund(grant numbers:207233-051); University of Iceland Doctoral Fund(grant numbers:1547-154305); ANR FuMultiSPOC(grant numbers:ANR-20-ASTR-0006); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9924190","Image fusion;multispectral and hyperspectral (MS–HS) image fusion;pansharpening;remote sensing (RS);Sentinel 2 sharpening;Stein’s unbiased risk estimate (SURE);unsupervised convolutional neural networks (CNNs)","Spatial resolution;Image fusion;Convolutional neural networks;Electronics packaging;Training;Pansharpening;Optical sensors","convolutional neural nets;deep learning (artificial intelligence);geophysical image processing;hyperspectral imaging;image fusion;image resolution;mean square error methods;remote sensing;unsupervised learning","CNN;loss function;high-quality fused images;imaging sensor;spatial resolution images;spectral resolution images;unsupervised convolutional neural network;Stein unbiased risk estimate;deep SURE;unsupervised remote sensing image fusion;optical RS imaging systems;backprojection mean square error;MSE;multispectral image fusion;hyperspectral image fusion","","","","75","IEEE","19 Oct 2022","","","IEEE","IEEE Journals"
"Airport Detection Based on a Multiscale Fusion Feature for Optical Remote Sensing Images","Z. Xiao; Y. Gong; Y. Long; D. Li; X. Wang; H. Liu","State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China; State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China; State Key Laboratory of Plateau Ecology and Agriculture, Qinghai University, Xining, China; School of Urban Design, Wuhan University, Wuhan, China","IEEE Geoscience and Remote Sensing Letters","25 Aug 2017","2017","14","9","1469","1473","Automatically detecting airports from remote sensing images has attracted significant attention due to its importance in both military and civilian fields. However, the diversity of illumination intensities and contextual information makes this task difficult. Moreover, auxiliary features both within and surrounding the regions of interest are usually ignored. To address these problems, we propose a novel method that uses a multiscale fusion feature to represent the complementary information of each region proposal, which is extracted by constructing a GoogleNet with a light feature module model that has an additional light fully connected layer. Then, the fusion feature is input to a support vector machine whose performance is enhanced using a hard negative mining method. Finally, a simplified localization method is applied to tackle the problem of box redundancy and to optimize the locations of airports. An experiment demonstrates that the fusion feature outperforms other features on airport detection tasks from remote sensing images containing complicated contextual information.","1558-0571","","10.1109/LGRS.2017.2712638","National Key Research and Development Program of China(grant numbers:2016YFB0502602); Natural Science Foundation of China(grant numbers:41471324); Natural Science Foundation of China(grant numbers:61363019); National Natural Science Foundation of Qinghai Province(grant numbers:2014-ZJ-718); Internally Funded Projects by LIESMARS; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7979532","Convolutional neural network (CNN);GoogleNet-light feature (GoogleNet-LF);hard negative mining (HNM);multiscale deep fusion feature;remote-sensing airport detection","Feature extraction;Airports;Remote sensing;Support vector machines;Image segmentation;Roads;Object detection","geophysical image processing;image fusion;remote sensing;support vector machines","airport detection;multiscale fusion feature;optical remote sensing images;military fields;civilian fields;auxiliary features;GoogleNet;light feature module model;light fully connected layer;support vector machine;hard negative mining method;simplified localization method;box redundancy","","57","","20","IEEE","13 Jul 2017","","","IEEE","IEEE Journals"
"Semisupervised Remote Sensing Image Fusion Using Multiscale Conditional Generative Adversarial Network With Siamese Structure","X. Jin; S. Huang; Q. Jiang; S. -J. Lee; L. Wu; S. Yao","Engineering Research Center of Cyberspace, Yunnan University, Kunming, China; Engineering Research Center of Cyberspace, Yunnan University, Kunming, China; Engineering Research Center of Cyberspace, Yunnan University, Kunming, China; Institute of Technology Management, National Chiao Tung University, Hsinchu, China; Engineering Research Center of Cyberspace, Yunnan University, Kunming, China; Engineering Research Center of Cyberspace, Yunnan University, Kunming, China","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","26 Jul 2021","2021","14","","7066","7084","Remote sensing image fusion (RSIF) can generate an integrated image with high spatial and spectral resolution. The fused remote sensing image is conducive to applications including disaster monitoring, ecological environment investigation, and dynamic monitoring. However, most existing deep learning based RSIF methods require ground truths (or reference images) to train a model, and the acquisition of ground truths is a difficult problem. To address this, we propose a semisupervised RSIF method based on the multiscale conditional generative adversarial networks by combining the multiskip connection and pseudo-Siamese structure. This new method can simultaneously extract the features of panchromatic and multispectral images to fuse them without a ground truth; the adopted multiskip connection contributes to presenting image details. In addition, we propose a composite loss function, which combines the least squares loss, L1 loss, and peak signal-to-noise ratio loss to train the model; the composite loss function can help to retain the spatial details and spectral information of the source images. Moreover, we verify the proposed method by extensive experiments, and the results show that the new method can achieve outstanding performance without relying on the ground truth.","2151-1535","","10.1109/JSTARS.2021.3090958","National Natural Science Foundation of China(grant numbers:61863036,62002313); China Postdoctoral Science Foundation(grant numbers:2020T130564,2019M653507); Key Areas Research Program of Yunnan Province in China(grant numbers:202001BB050076); Key Laboratory in Software Engineering of Yunnan Province in China(grant numbers:2020SE408); Yunnan Provincial Postdoctoral Science Foundation; Yunnan University's Research Innovation Fund for Graduate Students(grant numbers:2020230,2020231); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9461404","Conditional generative adversarial network (cGAN);deep learning (DL);image fusion;loss function;remote sensing image fusion (RSIF)","Image fusion;Spatial resolution;Remote sensing;Feature extraction;Generative adversarial networks;Sensors;Fuses","geophysical image processing;geophysical techniques;image classification;image fusion;learning (artificial intelligence);neural nets;remote sensing","semisupervised remote sensing image fusion;multiscale conditional generative adversarial network;Siamese structure;spatial resolution;spectral resolution;ecological environment investigation;dynamic monitoring;deep learning;RSIF methods;ground truth;semisupervised RSIF method;pseudoSiamese structure;panchromatic images;multispectral images;image details;composite loss function;signal-to-noise ratio loss;multiskip connection","","8","","50","CCBY","21 Jun 2021","","","IEEE","IEEE Journals"
"Remote Sensing Image Fusion Based on Nonnegative Dictionary Learning","J. Wang; Y. Jiang; Y. Qi; Y. Zhai","Guangzhou College of Technology and Business, Institute of Engineering, Guangzhou, Guangdong, China; Ideological and Political Theory Teaching Department, South China Business College, Guangdong University of Foreign Studies, Guangzhou, Guangdong, China; Faculty of Megadate and Computing, Guangdong Baiyun University, Guangzhou, Guangdong, China; College of Advanced Interdisciplinary Studies, National University of Defense Technology, Changsha, Hunan, China","IEEE Access","7 Dec 2021","2021","9","","158908","158916","For the problem of Panchromatic and multispectral remote sensing image fusion, we propose a remote sensing image fusion algorithm based on nonnegative dictionary learning. The basic idea of the algorithm is to use the panchromatic image with high spatial resolution to learn the high-low resolution dictionary pair, and to improve the fusion effect of remote sensing image by combining the nonnegativity of the image. Firstly, high resolution dictionary and low resolution dictionary are learned from high spatial resolution panchromatic image by nonnegative dictionary learning technology. Then multispectral image is sparsely represented by low resolution dictionary to obtain coefficient matrix. Finally, using coefficient matrix and high resolution dictionary, high resolution multispectral image is reconstructed. Compared with state-of-the-art methods, the proposed algorithm can get high spatial resolution and well preserve spectral information of multispectral image. Our experimental results of real QUICKBIRD and IKONOS remote sensing image fusion validate the effectiveness of the proposed algorithm.","2169-3536","","10.1109/ACCESS.2021.3131268","Major Scientific Research Projects in Guangdong Province(grant numbers:2018KTSCX331,2018KQNCX378); Ministry of Education Cooperative Education(grant numbers:201802123151,201902084029); Feature Innovation Project of Colleges and Universities in Guangdong Province(grant numbers:2020ktscx163); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9627909","Image fusion;pan-sharpening;dictionary learning;sparse representation;remote sensing image","Dictionaries;Remote sensing;Machine learning;Spatial resolution;Image fusion;Sparse matrices;Matching pursuit algorithms","geophysical image processing;image fusion;image representation;image resolution;learning (artificial intelligence);remote sensing","multispectral remote sensing image fusion;remote sensing image fusion algorithm;high-low resolution dictionary pair;fusion effect;nonnegativity;high resolution dictionary;high spatial resolution panchromatic image;nonnegative dictionary learning technology;coefficient matrix;high resolution multispectral image","","2","","28","CCBY","29 Nov 2021","","","IEEE","IEEE Journals"
"Spatial Dynamic Selection Network for Remote-Sensing Image Fusion","J. Hu; P. Hu; Z. Wang; X. Kang; S. Fan; D. Mao","Key Laboratory of Electric Power Robot of Hunan Province, School of Electrical and Information Engineering, Changsha University of Science and Technology, Changsha, China; Key Laboratory of Electric Power Robot of Hunan Province, School of Electrical and Information Engineering, Changsha University of Science and Technology, Changsha, China; Key Laboratory of Electric Power Robot of Hunan Province, School of Electrical and Information Engineering, Changsha University of Science and Technology, Changsha, China; College of Electrical and Information Engineering, Hunan University, Changsha, China; Key Laboratory of Electric Power Robot of Hunan Province, School of Electrical and Information Engineering, Changsha University of Science and Technology, Changsha, China; Key Laboratory of Intelligent Live Working Technology and Equipment (Robot) of Hunan Province, Live Inspection and Intelligent Operation Technology State Grid Corporation Laboratory, State Grid Hunan Transmission Maintenance Company, Hengyang, China","IEEE Geoscience and Remote Sensing Letters","30 Dec 2021","2022","19","","1","5","Nowadays, high-resolution images with rich spectral information are necessary for earth observation. Remote-sensing image fusion is an effective method to provide high-resolution multispectral images, which are obtained by fusing high-resolution panchromatic images and low-resolution multispectral images. However, existing methods mostly use the same network for image feature extraction, without considering the differences among different pixels, resulting in that the extracted features are not accurate enough. This letter proposes a spatial dynamic selection network for remote-sensing image fusion. A dynamic feature extraction module composed of multiple spatial dynamic blocks (SDBs) and cross-scale context connection blocks (CSCBs) is designed. The SDB can extract image features according to the input by different networks, and realize dynamic selection of pixel features. Since the spatial structure and spectral characteristic of each pixel are different, two complementary branches are designed in the SDB to extract different features, which improves the capability of feature extraction. Multiscale network structure is designed to obtain more abundant information and the CSCB is used to integrate the information of different scales. Experimental results on GeoEye-1 and WorldView-3 datasets demonstrate the superiority of the proposed method.","1558-0571","","10.1109/LGRS.2021.3085140","National Natural Science Foundation of China(grant numbers:61601061); Open Research Fund of Key Laboratory of Intelligent Live Working Technology and Equipment (Robot) of Hunan Province(grant numbers:2019KZD1006); Open Research Fund of Key Laboratory of Electric Power Robot of Hunan Province(grant numbers:PROF1902); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9451167","Convolutional neural network;cross-scale context connection;remote-sensing image fusion;spatial dynamic selection","Feature extraction;Convolution;Remote sensing;Image fusion;Logic gates;Training;Robots","feature extraction;geophysical image processing;image fusion;image resolution;remote sensing","remote-sensing image fusion;high-resolution images;high-resolution multispectral images;high-resolution panchromatic images;low-resolution multispectral images;image feature extraction;spatial dynamic selection network;dynamic feature extraction module;multiple spatial dynamic blocks;image features;pixel features;spatial structure;spectral characteristic","","1","","19","IEEE","10 Jun 2021","","","IEEE","IEEE Journals"
