"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Multi-Level Synergistic Image Decomposition Algorithm for Remote Sensing Image Fusion","X. Zou; W. Feng; Y. Quan; Q. Li; G. Dauphin; M. Xing","Department of remote sensing science and technology, School of Electronic Engineering, Xidian University, Xi'an, P. R. China; Research Institute of Advanced Remote Sensing Technology, Xidian University, Xi'an, P. R. China; Research Institute of Advanced Remote Sensing Technology, Xidian University, Xi'an, P. R. China; School of Physical Science and Technology, Northwestern Polytechnical University, Xi'an, P. R. China; Laboratory of Information Processing and Transmission, L2TI, Institut Galilée, University Paris XIII, France; Academy of Advanced Interdisciplinary Research, Xidian University, Xi'an, P. R. China","IGARSS 2022 - 2022 IEEE International Geoscience and Remote Sensing Symposium","28 Sep 2022","2022","","","3754","3757","Image fusion is a technique for improving the image quality, and image decomposition is one of a common method of image processing. In this paper, a novel multi-level synergistic image decomposition algorithm is proposed for the fusion of remote sensing images. The fusion framework decomposes different input images at different level to extract the salient and low-rank parts, respectively. The salient parts are fused using a designed weighted fusion method based on nuclearnorm, and the low-rank parts are fused using weighted average strategy. The proposed method shows a superior fusion performance in the compared experiments with PCA and GS methods.","2153-7003","978-1-6654-2792-0","10.1109/IGARSS46834.2022.9884942","National Natural Science Foundation of China(grant numbers:61772397,12005159); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9884942","image fusion;multi-level image decom-position;remote sensing;SAR image;Multispectral image","Image quality;Image decomposition;Sensors;Matrix decomposition;Remote sensing;Image fusion;Image reconstruction","geophysical image processing;image enhancement;image fusion;remote sensing","remote sensing image fusion;image quality;image processing;fusion framework;low-rank parts;salient parts;weighted fusion method;multilevel synergistic image decomposition algorithm;GS method;PCA method","","","","8","IEEE","28 Sep 2022","","","IEEE","IEEE Conferences"
"Multi-source high resolution remote sensing image fusion based on intelligent decision","W. Zhang; S. Li; Z. Hao; S. Yang","Key Laboratory of Space Utilization, Technology and Engineering Center for Space Utilization Chinese Academy of Sciences, Beijing, China; Key Laboratory of Space Utilization, Technology and Engineering Center for Space Utilization Chinese Academy of Sciences, Beijing, China; Key Laboratory of Space Utilization, Technology and Engineering Center for Space Utilization Chinese Academy of Sciences, Beijing, China; Key Laboratory of Space Utilization, Technology and Engineering Center for Space Utilization Chinese Academy of Sciences, Beijing, China","2016 5th International Conference on Computer Science and Network Technology (ICCSNT)","19 Oct 2017","2016","","","370","375","Application fields of multisource high resolution remote sensing image fusion are expending ceaselessly. Especially, commercial remote sensing satellite data and image fusion algorithms are constantly emerging. This paper proposed an intelligent decision strategy that can be used to query various remote sensing data for recommending the optimal image fusion data combination and appropriate fusion algorithm. The system architecture was defined as four layers including interaction layer, service layer, component layer, and data layer. In order to extend more plug-ins, we introduced the Zero-C distributed service framework to invoke different types of service interface. Besides, a main interface of intelligent inference system is developed for users to submit image fusion tasks.","","978-1-5090-2129-1","10.1109/ICCSNT.2016.8070183","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8070183","Intelligent Decision;Image Fusion;High Resolution Remote Sensing Image;Expert Rules","Image fusion;Remote sensing;Inference algorithms;Transforms;Spatial resolution;Principal component analysis","geophysical image processing;image fusion;remote sensing;user interfaces","commercial remote sensing satellite data;intelligent decision strategy;optimal image fusion data combination;interaction layer;service layer;component layer;data layer;intelligent inference system;image fusion tasks;application fields;multisource high resolution remote sensing image fusion;remote sensing data querying;Zero-C distributed service framework;service interface;intelligent inference system interface","","","","27","IEEE","19 Oct 2017","","","IEEE","IEEE Conferences"
"An adaptive image fusion rule for remote sensing images based on the particle swarm optimization","R. Gharbia; A. H. El Baz; A. E. Hassanien","Nuclear Materials Authority, Egypt; Faculty of Science, Damietta University, Egypt; Faculty of Computers and Information, Cairo University, Cairo, Egypt","2016 International Conference on Computing, Communication and Automation (ICCCA)","16 Jan 2017","2016","","","1080","1085","This paper proposes an adaptive remote sensing image fusion technique based on the particle swarm optimization (PSO) to get the optimum fused image. Firstly, the principal component analysis (PCA) is applied such as feature extraction. The PCA is applied to the multi-spectral (MS) images to concentrate the spatial resolution. Secondly, the discrete cosine transform (DCT) transforms the images into the frequency domain. Thirdly, the particle swarm optimization (PSO) is used to obtain an adaptive weight of the fusion rule. Then, the adaptive fusion rule is applied to the DCT coefficients. Finally, the fused image is obtained through the inverse of principal component analysis (IPCA) and the inverse of the discrete cosine transform (IDCT). The different satellite sensors have different characteristics in reflecting spectral and spatial information of the same scene. Therefore, the proposed technique was implemented on many satellite images such as MODIS, ETM+, SPOT, ASTER and MSS satellite. The experimental results demonstrated that the adaptive remote sensing image fusion technique based on the PSO preserves the spectral resolution and improves the spatial information.","","978-1-5090-1666-2","10.1109/CCAA.2016.7813903","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7813903","Remote sensing;Multi-sensor image fusion;Adaptive image fusion rule;principal component analysis (PCA);discrete cosine transform (DCT);the particle swarm optimization (PSO);panchromatic (Pan) and multi-spectral(MS) image;image fusion quality metrics","Image fusion;Discrete cosine transforms;Principal component analysis;Remote sensing;Satellites;Particle swarm optimization","discrete cosine transforms;feature extraction;geophysical image processing;image fusion;image resolution;inverse transforms;particle swarm optimisation;principal component analysis;remote sensing;spectral analysis","adaptive image fusion rule;particle swarm optimization;adaptive remote sensing image fusion;PSO;feature extraction;multispectral images;MS images;spatial resolution;discrete cosine transform transforms;DCT transforms;inverse principal component analysis;IPCA;inverse discrete cosine transform;IDCT;satellite sensors;satellite images;spatial information","","4","","20","IEEE","16 Jan 2017","","","IEEE","IEEE Conferences"
"Remote Sensing Image Fusion Technology Based on DSP","Y. Song; W. Feng; Y. Quan; Y. Liu; Q. Li; G. Dauphin; Y. Wang; M. Xing","Research Institute of Advanced Remote Sensing Technology, Xidian University, Xian, P. R. China; Research Institute of Advanced Remote Sensing Technology, Xidian University, Xian, P. R. China; Research Institute of Advanced Remote Sensing Technology, Xidian University, Xian, P. R. China; Research Institute of Advanced Remote Sensing Technology, Xidian University, Xian, P. R. China; School of Physical Science and Technology, Northwestern Polytechnical University, Xian, P. R. China; Laboratory of Information Processing and Transmission, L2TI, Institut Galilé, University Paris XIII, France; Research Institute of Advanced Remote Sensing Technology, Xidian University, Xian, P. R. China; Academy of Advanced Interdisciplinary Research, Xidian University, Xi'an, P. R. China","IGARSS 2022 - 2022 IEEE International Geoscience and Remote Sensing Symposium","28 Sep 2022","2022","","","3359","3362","In this paper, the fusion method of the weighted median filter Gram-Schmidt transform transplants to the digital signal processor (DSP). Image fusion technology has always been a key technology in the field of remote sensing image processing, but the algorithm is rarely implemented on mobile devices, so the scope of use has great limitations. The algorithm in the paper blends multispectral images and panchromatic images in the same location. The multispectral image is filtered by using a weighted median filter, and then the processed image and the panchromatic image are fused through the Gram-Schmidt transform. The filtering process reduces noise interference in the image, and the fused image combines the advantages of both images with high resolution and high color information. Due to the portability of DSP chips, the algorithm can be mounted on many mobile devices. Reduce the process of data transfer and make the image processing process more convenient.","2153-7003","978-1-6654-2792-0","10.1109/IGARSS46834.2022.9884802","National Natural Science Foundation of China(grant numbers:61772397,12005159); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9884802","Digital Signal Processor;Image Fusion;Weighted Median Filter;Gram-Schmidt Transform;Multispectral Image;Panchromatic Image","Numerical analysis;Image color analysis;Signal processing algorithms;Transforms;Linear algebra;Filtering algorithms;Information filters","digital signal processing chips;geophysical image processing;image colour analysis;image fusion;image processing;median filters;remote sensing;sensor fusion","sensing image fusion technology;fusion method;weighted median filter Gram-Schmidt transform transplants;digital signal processor;remote sensing image processing;mobile devices;paper blends multispectral images;panchromatic image;multispectral image;filtering process;fused image;DSP chips;image processing process","","","","9","IEEE","28 Sep 2022","","","IEEE","IEEE Conferences"
"A comparative analysis on GF-2 remote sensing image fusion effects","J. Chu; J. Fan; Y. Chen; F. Zhang","National Marine Environmental Monitoring Center, Dalian, China; National Marine Environmental Monitoring Center, Dalian, China; National Marine Environmental Monitoring Center, Dalian, China; National Marine Environmental Monitoring Center, Dalian, China","2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)","3 Nov 2016","2016","","","3770","3773","GF-2 is a civil remote sensing satellite developed by China in 2014. In addition to the highest spatial resolution, it is also featured with high radiometric precision and high positioning accuracy, etc.. However, regarding current supervision of sea resources, perfect data processing work flow has not been formed yet. In this paper, four methods of Brovey, Gram-Spectral pan sharpening (G-S), PC Spectral SharPening (PC) and Pansharp (PSH) are adopted to conduct comparative experiments for image fusion and evaluate images that have been fused both subjectively and objectively. Objective evaluation indexes including the average value, the variance, the entropy, the average gradient and the correlation coefficient are selected to compute and analyze fusion effects. According to the research results, it could be indicated that such four fusion methods of GF-2 Satellite are able to be used to significantly improve both the spatial resolution and the utilization ratio of images. And the method of PSH should be employed in case that GF-2 images are applied into visual interpretation and thematic charting.","2153-7003","978-1-5090-3332-4","10.1109/IGARSS.2016.7729977","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7729977","GF-2;image fusion;marine management;quality assessment","Satellites;Remote sensing;Spatial resolution;Satellite broadcasting;Image fusion;Entropy;Visualization","image fusion;image resolution;oceanographic techniques;remote sensing","GF-2 remote sensing image fusion effects;civil remote sensing satellite;China;AD 2014;radiometric precision;sea resources;data processing work flow;Brovey method;gram-spectral pan sharpening method;PC spectral sharpening method;PC spectral pansharp method;objective evaluation indexes;fusion methods;spatial image resolution;image utilization ratio;visual interpretation;thematic charting","","4","","8","IEEE","3 Nov 2016","","","IEEE","IEEE Conferences"
"An Algorithm Based on PCGP Image Fusion for Multi-Source Remote Sensing Images","Z. Ji; L. Xu; H. Wang; Y. Zhang","Key Laboratory of Marine Environmental Monitoring and Information Processing, Ministry of Industry; School of electronic and information engineering, Harbin Institute of Technology, Harbin, China; School of electronic and information engineering, Harbin Institute of Technology, Harbin, China; Key Laboratory of Marine Environmental Monitoring and Information Processing, Ministry of Industry","IGARSS 2022 - 2022 IEEE International Geoscience and Remote Sensing Symposium","28 Sep 2022","2022","","","2860","2863","Heterogeneous images imaged by different types of sensors have different imaging mechanisms, reflecting the characteristics of different sides of the target scene; while multi-source images formed by different working platforms or at different times have different imaging perspectives, and provide different target scene information. The use of multi-source heterogeneous images for fusion to obtain target and scene information more accurately and comprehensively has potential important applications in many fields such as military, medicine, and meteorology, and has become an important branch of image processing research. To this end, a PCGP algorithm is proposed in this paper to realize the fusion of optical images from different sources and SAR images. It first applies PCA transformation to the multi-source data images to obtain the principal component variables, then performs histogram matching on the first principal components of the transformed data sources, and finally uses the gradient pyramid decomposition algorithm to fuse the matched images to obtain a fused image. Then, the proposed fusion algorithm is tested in the fusion task of remote sensing images from different sources of GF2, GF6 and GF3. The experimental results show that the proposed fusion algorithm has better results.","2153-7003","978-1-6654-2792-0","10.1109/IGARSS46834.2022.9884334","National Natural Science Foundation of China(grant numbers:61201304,61201308); Ministry of Industry and Information Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9884334","Multi-sensor heterogeneous remote sensing image;image fusion;PCGP algorithm","Biomedical optical imaging;Transforms;Optical imaging;Optical sensors;Optical reflection;Task analysis;Remote sensing","feature extraction;geophysical image processing;gradient methods;image fusion;image matching;image processing;optical images;principal component analysis;radar imaging;remote sensing;sensor fusion;synthetic aperture radar","PCGP image fusion;multisource remote sensing;different imaging mechanisms;multisource images;different working platforms;different imaging perspectives;different target scene information;multisource heterogeneous images;potential important applications;image processing research;PCGP algorithm;optical images;SAR images;multisource data images;transformed data sources;gradient pyramid decomposition algorithm;matched images;fused image;fusion algorithm;fusion task;remote sensing images","","","","11","IEEE","28 Sep 2022","","","IEEE","IEEE Conferences"
"Remote sensing image fusion based on structured dictionary learning and joint sparse representation","X. Li; J. Wang; N. Ai; Y. Zhang; J. Peng","Faculty of Information Science and Technology, Northwest University, Shaanxi Province, Xi'an, China; Faculty of Information Science and Technology, Northwest University, Shaanxi Province, Xi'an, China; Faculty of Information Science and Technology, Northwest University, Shaanxi Province, Xi'an, China; Faculty of Information Science and Technology, Northwest University, Shaanxi Province, Xi'an, China; Faculty of Information Science and Technology, Northwest University, Shaanxi Province, Xi'an, China","2017 12th IEEE Conference on Industrial Electronics and Applications (ICIEA)","8 Feb 2018","2017","","","1200","1205","We describe a novel image fusion method for remote sensing based on structured dictionary learning and joint sparse representation which improves both quality and execution time. First, structured dictionaries are separately trained from the panchromatic (PAN) image and multispectral (MS) image by the double-sparsity model. Then, we use the joint sparse model to obtain the innovation components of the PAN image that are absent from the MS bands. Finally, the fused image is constructed by injecting the innovation components of PAN image into the low-resolution multispectral image by injection model. Experimental results show that our method has better performance than other state-of-the-art methods in terms of the spectral information, spatial resolution and computational efficiency.","2158-2297","978-1-5090-6161-7","10.1109/ICIEA.2017.8283022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8283022","Image fusion;structured dictionary learning;joint sparse representation;panchromatic image;multispectral image","Technological innovation;Dictionaries;Machine learning;Spatial resolution;Sparse matrices;Remote sensing;Image fusion","compressed sensing;image fusion;image representation;image resolution;remote sensing","PAN image;fused image;low-resolution multispectral image;image fusion method;remote sensing;panchromatic image;joint sparse model;image fusion;dictionary learning;sparse representation","","1","","17","IEEE","8 Feb 2018","","","IEEE","IEEE Conferences"
"Remote sensing image fusion using Statistical Univariate Finite Mixture Model in Shearlet Domain","B. Biswas; A. Dey; K. N. Dey","Department of Computer Science and Engineering, University of Calcutta; Department of Computer Science and Engineering, University of Calcutta; Department of Computer Science and Engineering, University of Calcutta","2015 International Conference on Advances in Computing, Communications and Informatics (ICACCI)","28 Sep 2015","2015","","","2186","2191","Remote sensing image fusion is a process that integrates the spatial detail of panchromatic (PAN) image and the spectral information of a low-resolution multispectral (MS) image and produces a fused image that contain both high spatial and spectral details. In this paper, a new remote sensing image fusion method is proposed based on Statistical Univariate Finite Mixture Model (UFMM) in Shearlet Domain. Foremost, the Shearlet sub-bands for PAN and MS image are achieved by Shearlet Transform (ST). Latter, a novel fusion strategy is designed for both low and high pass sub-bands. Finally, the fused image is achieved by Inverse Shearlet Transform (IST). By comparing with the well-known methods in terms of several quality evaluation indexes, the experimental results on QuickBird and IKONOS images show the superiority of our method.","","978-1-4799-8792-4","10.1109/ICACCI.2015.7275940","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7275940","Image fusion;Univariate finite mixture model;Shearlet transform;Profile likelihood;Singular value decomposition","Transforms;Image fusion;Remote sensing;Gaussian distribution;Principal component analysis;Indexes;Mixture models","geophysical image processing;image fusion;image resolution;inverse transforms;mixture models;remote sensing;spectral analysis","statistical univariate finite mixture model;shearlet domain;remote sensing image fusion;panchromatic image;PAN image;spectral information;low-resolution multispectral image;MS image;high spatial details;spectral details;UFMM;shearlet subbands;low pass sub-bands;high pass sub-bands;inverse shearlet transform;IST;quality evaluation indexes;QuickBird images;IKONOS images","","1","","20","IEEE","28 Sep 2015","","","IEEE","IEEE Conferences"
"Splitting the hyperspectral-multispectral image fusion problem autonomously into weighted pan-sharpening tasks — The spectral grouping concept","C. Grohnfeldt; X. X. Zhu; R. Bamler","Remote Sensing Technology Institute, DLR German Aerospace Center, Wessling, Germany; Chair of Remote Sensing Technology, Technische Universitat Munchen (TUM), Germany; Chair of Remote Sensing Technology, Technische Universitat Munchen (TUM), Germany","2015 7th Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing (WHISPERS)","23 Oct 2017","2015","","","1","4","Due to the trade-off between spatial and spectral resolution in optical imaging systems, hyperspectral instruments provide data of comparatively low spatial resolution. In order to develop higher resolution hyperspectral data via post-processing, image fusion algorithms can be applied to combine this data with imagery of lower spectral but higher spatial resolution. The similar but simpler pan-sharpening problem, which refers to the fusion of low resolution multispectral with higher resolution panchromatic imagery, has been extensively studied and solved in the past two decades. This paper aims at making the large number of sophisticated pan-sharpening methods usable to solving the more challenging hyperspectral-multispectral image fusion problem. We propose a generic algorithm - called Spectral Grouping - to devide the hyperspectral-multispectral image fusion problem autonomously into weighted pan-sharpening problems using the relative spectral responses of both instruments.","2158-6276","978-1-4673-9015-6","10.1109/WHISPERS.2015.8075412","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8075412","image fusion;hyperspectral resolution enhancement;generalization of pan-sharpening methods;spectral grouping","Spatial resolution;Image fusion;Niobium;Instruments;Hyperspectral imaging","geophysical image processing;geophysical signal processing;geophysical techniques;image fusion;image resolution;optical images;remote sensing","hyperspectral instruments;comparatively low spatial resolution;higher resolution hyperspectral data;image fusion algorithms;higher spatial resolution;similar but simpler pan-sharpening problem;higher resolution panchromatic imagery;sophisticated pan-sharpening methods;hyperspectral-multispectral image fusion problem;weighted pan-sharpening problems;weighted pan-sharpening tasks;spectral grouping concept;spectral resolution;optical imaging systems","","","","13","IEEE","23 Oct 2017","","","IEEE","IEEE Conferences"
"A novel high resolution remote sensing image change detection algorithm based on image fusion and fuzzy clustering models","M. Liu; Y. Liu","Shandong University, SDU, Jinan, China; Beijing University of Posts and Telecommunication, BUPT, Beijing, China","2016 International Conference on Inventive Computation Technologies (ICICT)","26 Jan 2017","2016","3","","1","6","In this paper, we propose a novel high resolution remote sensing image change detection algorithm based on image fusion and fuzzy clustering models. The original images are fused based on the Wavelet to get the comprehensive differencing map which reserves enough variation characteristics as well as reducing the noise. The idea of modifying traditional clustering algorithms will enhance the final result of the change map. This method is able to achieve the higher detection accuracy based on the revised fuzzy clustering algorithm and could obtain better differencing map with integration of image fusion. Experiments on real images point out the effectiveness and feasibility of the proposed methodology compared with other state-of-the-art ones visually and numerically.","","978-1-5090-1285-5","10.1109/INVENTIVE.2016.7830104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7830104","Remote Sensing;Change Detection;Image Fusion;Fuzzy Clustering;High Resolution","Remote sensing;Image fusion;Spatial resolution;Change detection algorithms;Algorithm design and analysis;Clustering algorithms","image fusion;image resolution;pattern clustering","remote sensing image change detection algorithm;image fusion;fuzzy clustering models;wavelet;clustering algorithms;fuzzy clustering algorithm;differencing map","","2","","23","IEEE","26 Jan 2017","","","IEEE","IEEE Conferences"
