"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Lake Urmia Water Salinity Mapping using Sentinel-2 Multi-Spectral Imagery","S. Lotfi; S. Ranjbar; M. Amani; A. Zarei","College of Engineering, University of Tehran, Tehran, Iran; Biological Systems Engineering, University of Wisconsin-Madison, Madison, WI, USA; Wood Environment and Infrastructure Solutions, Ottawa, Ontario, Canada; College of Engineering, University of Tehran, Tehran, Iran","2022 10th International Conference on Agro-geoinformatics (Agro-Geoinformatics)","23 Aug 2022","2022","","","1","5","Water salinity is one of the most critical water properties which considerably affects the lives of marine flora and fauna. In this study, the water salinity of Lake Urmia was mapped using sentinel-2 Multispectral Images (MSI). A Support Vector Regression (SVR) was developed to predict the water salinity using sentinel-2 spectral bands and indices. Three main scenarios were considered when input features were used in the SVR model. In scenario 1, the SVR was fed by all the features generated from Sentinel-2 data, and in the other two scenarios, a Genetic Algorithm (GA) and a Sequential Feature Selection (SFS) were applied to select the optimum input features to be used in the SVR model. The results showed that the salinity of Lake Urmia was estimated with a relatively reliable accuracy using GA along with the SVR model, where the R2 of 65.7% and the Root Mean Square Error (RMSE) of 11.5 PSU were obtained when the results were compared with in-situ data. Overall, this study showed that Sentinel-2 provides valuable high spatial-temporal datasets for continuous monitoring of water salinity over Lake Urmia.","","978-1-6654-7078-0","10.1109/Agro-Geoinformatics55649.2022.9859146","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9859146","Water salinity;Lake Urmia;Sentinel-2 MSI;Support Vector Regression;Genetic algorithm","Water;Support vector machines;Satellites;Salinity (geophysical);Lakes;Data models;Reliability","genetic algorithms;geophysical image processing;hydrological techniques;lakes;mean square error methods;regression analysis;remote sensing;support vector machines","Sentinel-2 multispectral imagery;critical water properties;sentinel-2 Multispectral Images;sentinel-2 spectral bands;SVR model;Sentinel-2 data;Sequential Feature Selection;optimum input features;Lake Urmia water salinity mapping","","","","30","IEEE","23 Aug 2022","","","IEEE","IEEE Conferences"
"SEN23E: A Cloudless Geo-Referenced Multi-Spectral Sentinel-2/Sentinel-3 Dataset for Data Fusion Analysis","D. Ibañez; R. Fernandez-Beltran; F. Pla","Institute of New Imaging Technologies, University Jaume I, Castellón de la Plana, Spain; Institute of New Imaging Technologies, University Jaume I, Castellón de la Plana, Spain; Institute of New Imaging Technologies, University Jaume I, Castellón de la Plana, Spain","IGARSS 2022 - 2022 IEEE International Geoscience and Remote Sensing Symposium","28 Sep 2022","2022","","","1448","1451","The availability of geo-referenced coupled data of dif-ferent platforms is essential to train remote sensing (RS) multi-modal classification and bio-phyiscal parameter esti-mation learning methods. To properly develop a general-izing model different scenes and topographies are required. For this purpose, different multi-modal datasets have been published for the last years. Nevertheless, to our knowl-edge there is not any dataset composed of Sentinel-2 (S2) and Sentinel-3 (S3) geo-referenced images. In this paper we present SEN23, a dataset composed of 100 complete multi-spectral S2 and S3 paired images of different locations along Europe from the 2021 summer. The coupled images were obtained with a time difference of three or less days, containing less than a 1 % of cloud coverage and have a resolution difference of × 15. SEN23E is expected to help with the development of new multi-spectral, multi-resolution and multi-modal models for complex tasks which need con-text and complete images. SEN23E will be available at https://github.com/ibanezdf/SEN23E.","2153-7003","978-1-6654-2792-0","10.1109/IGARSS46834.2022.9883867","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9883867","Dataset;Data Fusion;Remote Sensing;Multi-spectral;Sentinel-2 (S2);Sentinel-3 (S3)","Learning systems;Image resolution;Biological system modeling;Europe;Data integration;Surfaces;Sensors","geophysical image processing;hydrological techniques;image classification;image fusion;learning (artificial intelligence);remote sensing;sensor fusion","data fusion analysis;geo-referenced coupled data;dif-ferent platforms;remote sensing multimodal classification;bio-phyiscal parameter esti-mation;model different scenes;topographies;different multimodal datasets;Sentinel-3 geo-referenced images;SEN23;100 complete multispectral;coupled images;time difference;resolution difference;multiresolution;multimodal models","","","","12","IEEE","28 Sep 2022","","","IEEE","IEEE Conferences"
"From Supervised to Unsupervised Learning for Land Cover Analysis of Sentinel-2 Multispectral Images","J. Saha; Y. Khanna; J. Mukhopadhyay; S. Aikat","Indian Institute of Technology, Kharagpur; Indian Institute of Technology, Kharagpur; Indian Institute of Technology, Kharagpur; Indian Institute of Technology, Kharagpur","IGARSS 2020 - 2020 IEEE International Geoscience and Remote Sensing Symposium","17 Feb 2021","2020","","","1965","1968","Sentinel-2 provides a large volume of the multi-spectral multi-resolution dataset. Training deep convolutional architecture with such a dataset is still a challenging task in land cover classification due to the absence of ground truth. Also, the selection of appropriate deep architecture for handling the Sentinel-2 dataset is another challenging task. In this paper, we propose a convolutional neural network (CNN) architecture to extract the information from various combinations of bands in Sentinel-2 imagery. We use a loss function, proposed in an earlier work, to train our model in an unsupervised manner. Recent advances in deep learning allow for transferring knowledge from one data set to another. Thus, in our study, we aim at analyzing the “transfer learning” capabilities of our proposed network to land cover classification in Sentinel-2 images. Pre-trained weights of a deep neural architecture, which is trained with very high-resolution optical satellite imagery from Aviris is transferred to a network of almost similar architecture for processing Sentinel-2 data. We used Salinas, a publicly available hyper-spectral dataset, to train this architecture in a supervised fashion and, finally, use transfer learning and fine-tuning on the architecture handling Sentinel-2 data for clustering. Experiments show that bands of 60m resolution have a positive combining effect with bands of 20m resolution for segregating waterbody, urban settlement, and tree canopies distinctly.","2153-7003","978-1-7281-6374-1","10.1109/IGARSS39084.2020.9323985","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9323985","Convolutional neural network;Land-cover classification;Clustering;Aviris Hyperspectral images;Sentinel-2 Multispectral Images","Feature extraction;Vegetation;Hyperspectral imaging;Image segmentation;Convolutional neural networks;Convolution;Task analysis","geophysical image processing;geophysical signal processing;geophysical techniques;image classification;image resolution;image segmentation;image sensors;land cover;land use;learning (artificial intelligence);neural nets;remote sensing;terrain mapping;unsupervised learning","unsupervised learning;land cover analysis;Sentinel-2 multispectral images;multispectral multiresolution dataset;deep convolutional architecture;land cover classification;Sentinel-2 dataset;convolutional neural network architecture;Sentinel-2 imagery;unsupervised manner;deep learning;transfer learning capabilities;pre-trained weights;deep neural architecture;high-resolution optical satellite imagery;Sentinel-2 data;hyper-spectral dataset","","1","","6","IEEE","17 Feb 2021","","","IEEE","IEEE Conferences"
"Semi-Automated Technique for Vegetation Analysis in Sentinel-2 Multi-Spectral remote sensing images using Python","S. Barma; S. Damarla; S. K. Tiwari",NA; NA; APSAC,"2020 4th International Conference on Electronics, Communication and Aerospace Technology (ICECA)","28 Dec 2020","2020","","","946","953","Satellite imagery provides a lot of information that can be analysed for a variety of objectives. The vegetation analysis in a region for a particular period of time to process a large amount of data is remaining as a bottleneck and involves a series of timeconsuming steps that delay the output. To overcome this challenge, this study aims to automate the process and estimate the area of sparse and dense vegetation of a certain area of interest and to assess the vegetation dynamics in this region by using the Sentinel-2 data. Python with its opensource libraries are utilized for downloading and processing the satellite data. Mandal (sub-district) level Mean NDVI, area under sparse and dense vegetation are estimated at the peak vegetative growth stage in Rabi season (February) from 2017 to 2020. In the assessment of satellite data, it was observed that the Godavari delta region has shown a decrease in the sparse vegetative area (11094 ha.) and an increase in dense vegetation area (3272 ha.) in 2018 as compared with 2019 assessment. However, in the Krishna delta region, it was observed that the sparse vegetation area was decreased (90600 ha) and an increased dense area (161915 ha.) in 2020 as compared with 2017. The process involves downloading Sentinel-2 data using SentinelHub and SentinelSat API, pre-processing and segmenting NDVI images to classify vegetation areas and the calculation of Mandal (sub-district) level statistics.","","978-1-7281-6387-1","10.1109/ICECA49313.2020.9297369","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9297369","NDVI;K-means clustering;Python process automation;multi-spectral remote sensing image processing;multi-temporal vegetation analysis;sentinel-2","Vegetation mapping;Remote sensing;Python;Libraries;Satellites;Image segmentation;Tools","geophysical image processing;image segmentation;remote sensing;vegetation;vegetation mapping","vegetation analysis;Sentinel-2 multispectral remote sensing images;python;satellite imagery;vegetation dynamics;satellite data;Mandal level Mean NDVI;peak vegetative growth stage;Godavari delta region;sparse vegetative area;dense vegetation area;Krishna delta region;sparse vegetation area;downloading Sentinel-2 data;vegetation areas;time 2018.0 as;time 2020.0 as","","","","22","IEEE","28 Dec 2020","","","IEEE","IEEE Conferences"
"Deepsen3: Deep Multi-Scale Learning Model For Spatial-Spectral Fusion Of Sentinel-2 And Sentinel-3 Remote Sensing Images","A. Alboody; M. Puigt; G. Roussel; V. Vantrepotte; C. Jamet; T. -K. Tran","LISIC – UR 4491, Univ. Littoral Côte d’Opale, Longuenesse, France; LISIC – UR 4491, Univ. Littoral Côte d’Opale, Longuenesse, France; LISIC – UR 4491, Univ. Littoral Côte d’Opale, Longuenesse, France; CNRS, LOG – UMR 8187, Univ. Littoral Côte d’Opale, Wimereux, France; CNRS, LOG – UMR 8187, Univ. Littoral Côte d’Opale, Wimereux, France; CNRS, LOG – UMR 8187, Univ. Littoral Côte d’Opale, Wimereux, France","2022 12th Workshop on Hyperspectral Imaging and Signal Processing: Evolution in Remote Sensing (WHISPERS)","22 Nov 2022","2022","","","1","5","Recently, deep learning methods that integrate image features gradually became a hot development trend in fusion of multispectral and hyperspectral remote sensing images, aka multi-sharpening. Fusion of a low spatial resolution hyperspectral image (LR-HSI datacube) with its corresponding high spatial resolution multispectral image (HR-MSI datacube) to reconstruct a high spatial resolution hyperspectral image (HR-HSI) has been a significant subject in recent years. Nevertheless, it is still difficult to achieve a high quality of spatial and spectral information fusion. In this paper, we propose a Deep Multi-Scale Learning Model (called DeepSen3) of spatial-spectral information fusion based on multi-scale inception residual convolutional neural network (CNN) for more efficient hyperspectral and multispectral image fusion from ESA remote sensing satellite missions (Sentinel-2 and Sentinel-3 images). The proposed DeepSen3 fusion network was applied to Sentinel-2 MSI (13 spectral bands with a spatial resolution ranging from 10, 20 to 60 m) and Sentinel-3 OLCI (21 spectral bands with a spatial resolution of 300 m) images. Extensive experiments demonstrate that the proposed DeepSen3 network achieves the best performance (both qualitatively and quantitatively) compared with recent state-of-the-art deep learning approaches.","2158-6276","978-1-6654-7069-8","10.1109/WHISPERS56178.2022.9955139","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9955139","Deep Learning;Residual Convolutional Neural Network (ResNet-CNN);Multi-Scale Inception;Feature Extraction;Spatial-Spectral Image Fusion;Sentinel-2 and Sentinel-3 Remote Sensing Images;HyperSpectral Images (HSI);Multi-Spectral Images (MSI)","Deep learning;Satellites;Signal processing;Market research;Distance measurement;Convolutional neural networks;Spatial resolution","artificial satellites;convolutional neural nets;deep learning (artificial intelligence);geophysical image processing;image fusion;remote sensing","deep multiscale learning model;DeepSen3 fusion network;ESA remote sensing satellite missions;high spatial resolution hyperspectral image;low spatial resolution hyperspectral image fusion;multiscale inception residual convolutional neural network;multisharpening;multispectral remote sensing image fusion;Sentinel-2 MSI images;Sentinel-3 OLCI images;Sentinel-3 remote sensing images;spatial-spectral information fusion","","","","20","IEEE","22 Nov 2022","","","IEEE","IEEE Conferences"
"Harmonized Landsat/Sentinel-2 Products for Land Monitoring","J. Masek; J. Ju; J. -C. Roger; S. Skakun; M. Claverie; J. Dungan","NASA GSFC, Biospheric Sciences Laboratory, Greenbelt, MD, USA; Earth System Science, Interdisciplinary University of Maryland, MD, USA; Dept. Geographical Sciences, University of Maryland, MD, USA; Dept. Geographical Sciences, University of Maryland, MD, USA; Earth and Life Institute, Universite Catholique de Louvain, Louvain, Belgium; Earth Science Division, NASA Ames Research Center Moffitt Field, CA, USA","IGARSS 2018 - 2018 IEEE International Geoscience and Remote Sensing Symposium","4 Nov 2018","2018","","","8163","8165","The Harmonized Landsat-8 and Sentinel-2 (HLS) project is a NASA initiative aiming to produce a seamless, harmonized surface reflectance record from the Operational Land Imager (OLI) and Multi-Spectral Instrument (MSI) aboard Landsat-8 and Sentinel-2 remote sensing satellites, respectively. The HLS products are based on a set of algorithms to obtain seamless products from both sensors (OLI and MSI): atmospheric correction, cloud and cloud-shadow masking, geographic co-registration and common gridding, bidirectional reflectance distribution function normalization and bandpass adjustment. As of version 1.3, the HLS v1.3 data set covers 9.12 million km2 and spans from first Landsat-8 data (2013) to present. HLS products provide near-daily surface reflectance information with a common geometric framework, and are suitable for a variety of agricultural and vegetation monitoring tasks, including analysis of crop type, condition, and phenology.","2153-7003","978-1-5386-7150-4","10.1109/IGARSS.2018.8517760","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8517760","land remote sensing;Landsat;Sentinel-2;atmospheric correction","Remote sensing;Earth;Artificial satellites;Reflectivity;Monitoring;NASA;Cloud computing","geophysical image processing;geophysical techniques;remote sensing;vegetation","near-daily surface reflectance information;Landsat-8 data;HLS v;bandpass adjustment;bidirectional reflectance distribution function normalization;cloud-shadow masking;seamless products;HLS products;Sentinel-2 remote sensing satellites;MSI;MultiSpectral Instrument;Operational Land Imager;harmonized surface reflectance record;seamless surface reflectance record;NASA initiative;Sentinel-2 project;Harmonized Landsat-8;Land monitoring;Harmonized Landsat/Sentinel-2 products","","6","","11","IEEE","4 Nov 2018","","","IEEE","IEEE Conferences"
"AI Opportunities and Challenges for Crop Type Mapping Using Sentinel-2 and Drone Data","A. Nowakowski; D. Spiller; N. Cremer; R. Bonifacio; M. Marszalek; M. Garcia-Herranz; P. P. Mathieu; D. -H. Kim","Ф-Lab, EOP, European Space Agency, ESRIN, Frascati, Rome, Italy; Italian Space Agency, Rome, Italy; Ф-Lab, EOP, European Space Agency, ESRIN, Frascati, Rome, Italy; Geospatial Team, Analysis and Trends Service, World Food Programme HQ; Ф-Lab, EOP, European Space Agency, ESRIN, Frascati, Rome, Italy; Office of Innovation, UNICEF, New York, USA; Ф-Lab, EOP, European Space Agency, ESRIN, Frascati, Rome, Italy; Office of Innovation, UNICEF, New York, USA","2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS","12 Oct 2021","2021","","","258","261","Crop type mapping represents one of the most challenging problems in remote sensing. Spatial, spectral, and temporal information are required in order to obtain a unambiguous distinction among the types of crop. This paper presents a multi-sensor approach, where labelled high-resolution images from drones, limited to small areas, are used to enhance the classification ability of machine learning models based on Sentinel 2 time series. The project described in this paper is organized into three major activities. The first part focused on the exploitation of RGB drone images by using transfer learning and convolutional networks, and it has already been described in a previous work by the team. The second part deals with preliminary analysis of multi-spectral Sentinel 2 time-series using the labelled data from the drones campaign and trees-based machine learning algorithms. Finally, the third ongoing part deals with the combination of drones and satellite data in order to show how drones data can help the Sentinel 2 classification by reducing the effort needed to collect reference crop type information.","2153-7003","978-1-6654-0369-6","10.1109/IGARSS47720.2021.9553609","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9553609","Crop-type mapping;Sentinel 2;drones;transfer learning;multi-resolution image analysis","Satellites;Machine learning algorithms;Image analysis;Transfer learning;Time series analysis;Crops;Remote sensing","crops;geophysical image processing;image classification;image resolution;learning (artificial intelligence);remote sensing;time series","unambiguous distinction;multisensor approach;high-resolution images;machine learning models;Sentinel 2 time series;RGB drone images;transfer learning;multispectral Sentinel 2 time-series;labelled data;drones campaign;trees-based machine learning algorithms;satellite data;drones data;Sentinel 2 classification;reference crop type information;crop type mapping;drone data;remote sensing;spatial information;spectral, information;temporal information","","","","20","IEEE","12 Oct 2021","","","IEEE","IEEE Conferences"
"Modelling Leaf Chlorophyll Content in Coffee (Coffea Arabica) Plantations Using Sentinel 2 Msi Data","A. Chemura; O. Mutanga; J. Odindi","Discipline of Geography, University of KwaZulu-Natal, Pietermaritzburg, South Africa; Discipline of Geography, University of KwaZulu-Natal, Pietermaritzburg, South Africa; Discipline of Geography, University of KwaZulu-Natal, Pietermaritzburg, South Africa","IGARSS 2018 - 2018 IEEE International Geoscience and Remote Sensing Symposium","4 Nov 2018","2018","","","8228","8231","Coffee leaf chlorophyll (ChI) is an important proxy for coffee plant photosynthetic rates, nitrogen content, leaf health and yield potential. Whereas the recently launched Sentinel 2 multi -spectral instrument (MSI) data has great potential for plant condition assessment, the value of its spectral settings at variable spatial resolutions in relation to crop canopy cover on ChI content prediction remains largely unexplored. In this study, we apply an empirical model to estimate coffee leaf ChI with Sentinel 2 MSI data. Results showed that coffee biophysical parameters (height and canopy cover) are significantly influenced by stand age while plant water concentration and total ChI are age invariant. Results further showed that the best modelling results (R2=0.69, RMSE=64.4) were achieved when all the bands at 10m spatial resolution with all data were used. We concluded that Sentinel 2 MSI is a valuable dataset for predicting coffee leaf ChI, however, based on our findings, we suggest that finer spatial resolutions of 10m on mature coffee stands should be adopted for better prediction results.","2153-7003","978-1-5386-7150-4","10.1109/IGARSS.2018.8518848","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8518848","Leaf chlorophyll;Crop condition assessment;Random forest;Spectral resolution;Spatial resolution","Spatial resolution;Data models;Agriculture;Biological system modeling;Nitrogen;Remote sensing;Reflectivity","geophysical techniques;photosynthesis;remote sensing;vegetation","modelling leaf chlorophyll content;coffee plantations;sentinel 2 MSI data;Sentinel 2 multi-spectral instrument data;mature coffee stands;finer spatial resolutions;plant water concentration;coffee biophysical parameters;Sentinel 2 MSI data;empirical model;crop canopy cover;variable spatial resolutions;plant condition assessment;leaf health;nitrogen content;coffee plant photosynthetic rates;coffee leaf chlorophyll","","2","","13","IEEE","4 Nov 2018","","","IEEE","IEEE Conferences"
"Thermal Anomaly Level Algorithm for Active Fire Mapping by Means of Sentinel-2 Data","S. Liangrocapart; S. Khetkeeree; B. Petchthaweetham","Department of Physics, Mahanakorn University of Technology, Bangkok, Thailand; Department of Physics, Mahanakorn University of Technology, Bangkok, Thailand; R V Connex Co., Ltd., Pathum Thani, Thailand","2020 17th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (ECTI-CON)","4 Aug 2020","2020","","","687","690","In this study, we propose a new approach to detect and map active fire area by means of Sentinel-2 data. Sentinel-2 Multi-Spectral Instrument (MSI) is comprised of visible spectral bands, near infrared (NIR), and short wave infrared (SWIR) spectral bands. These spectral bands, band 8A (865 nm), band 11 (at 1.61 μm), and band 12 (at 2.19 μm), are employed to roughly approximate the temperature within the forest fire range (400 - 1500°C) using Planck's blackbody radiation law. The Normalised Difference Indices (NDI) of band 11 with 8A and band 12 with 11 are formulated, namely NDI1 and NDI2, respectively. The criteria of NDI1, NDI2, and band 12 ranges are estimated empirically to identify forest fire area into four thermal anomaly levels, i.e., high-temperature crown fire, typical crown fire, surface fire or smoldering area and remains of the fire. For the high-temperature crown fire area, band 12 value is very high, all indices are positive, and the NDI2 is lower than NDI1, following Planck's curve for temperature higher than 1200 K. For the typical crown fire area, the band 12 value is high, and the NDI2 can be higher than NDI1. For the smolder area, the band 12 value is in the middle range, and the NDI2 must be larger than 0.2. Finally, for remains area, the band 12 value is in the lower range, and NDI1 must be higher than -0.27. This work shows that the active fire area can be identified and mapped into four thermal anomaly levels. This approach can be employed for rapid fire management as soon as the image data is obtained.","","978-1-7281-6486-1","10.1109/ECTI-CON49241.2020.9158262","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9158262","active fire mapping;Sentinel-2;fire management;forest fire;Planck’s law;remote sensing","Fires;Forestry;Temperature distribution;Satellites;Instruments;Earth;Telecommunications","atmospheric temperature;fires;geophysical techniques;terrain mapping","active fire mapping;Sentinel-2 data;map active fire area;Sentinel-2 MultiSpectral Instrument;visible spectral bands;NDI1;NDI2;band 12 ranges;forest fire area;high-temperature crown fire area;band 12 value;smoldering area;surface fire;normalised difference indices;Planck blackbody radiation law;short wave infrared spectral band;near infrared spectral band;thermal anomaly level algorithm;size 865.0 nm;size 1.61 mum;size 2.19 mum;temperature 1200.0 K;temperature 400.0 degC to 1500.0 degC","","1","","6","IEEE","4 Aug 2020","","","IEEE","IEEE Conferences"
"Deep Learning for Monitoring Glacial Lakes Formation using Sentinel 2 Multispectral Data","A. Basit; M. K. Bhatti; M. Ali; T. Fatima; B. Minchew; M. A. Siddique","Remote Sensing and Spatial Analytics Lab, Information Technology University (ITU), Pakistan; Remote Sensing and Spatial Analytics Lab, Information Technology University (ITU), Pakistan; Intelligent Machines Lab, Information Technology University (ITU), Pakistan; Water & Agriculture Division, National Engineering Services Pakistan, Lahore, Pakistan; Glacier Dynamics and Remote Sensing Group, D-EAPS MIT, USA; Remote Sensing and Spatial Analytics Lab, Information Technology University (ITU), Pakistan","IGARSS 2022 - 2022 IEEE International Geoscience and Remote Sensing Symposium","28 Sep 2022","2022","","","179","182","Glacial lake outburst floods (GLOFs) are a major threat to the local communities and important infrastructures in the high mountain regions. This paper focuses on the development of a benchmark dataset for glacial lakes classification in Sentinel 2 multi-spectral data and subsequent detection of glacial lakes prior to a glacial lake outburst flood (GLOF). Towards this end, we collected Sentinel 2 true color scenes of High-Mountain Asia (HMA) region using glacial lakes inventory of this region. It covers an area of 2080.12 km2 with nearly 30,121 glacial lakes. After data collection, we retained 1200 cloud free true color images and manually generated their ground truth masks. The dataset covers lakes with different shapes, sizes and radiometric signatures. For detection of glacial lakes, we used an encoder-decoder based convolutional neural network (CNN). The model is trained on the labelled dataset of glacial lakes for semantic segmentation of true color images into two relevant classes: lake and no lake. The performance of the proposed model is evaluated using intersection over union (IoU) score. It classifies glacial lakes correctly with an IoU score of 79.90%, which is quite good as far as complexity of the problem is concerned.","2153-7003","978-1-6654-2792-0","10.1109/IGARSS46834.2022.9883150","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9883150","Glacial lake outburst floods (GLOFs);deep learning;Sentinel 2;semantic segmentation;disaster management","Image segmentation;Shape;Image color analysis;Semantics;Color;Lakes;Radiometry","floods;geophysical image processing;glaciology;hydrological techniques;image classification;image segmentation;lakes;learning (artificial intelligence);neural nets;remote sensing","glacial lakes classification;Sentinel 2 multispectral data;glacial lake outburst flood;Sentinel 2 true color scenes;glacial lakes inventory;30 lakes;121 glacial lakes;monitoring glacial lakes formation","","","","14","IEEE","28 Sep 2022","","","IEEE","IEEE Conferences"
