"Authors","Author full names","Author(s) ID","Titles","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Cited by","Link","Abstract","Indexed Keywords","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Chen S.; Chen M.; Zhao B.; Mao T.; Wu J.; Bao W.","Chen, Shuaiqiang (57869452400); Chen, Meng (57221682011); Zhao, Bingyu (57200651458); Mao, Ting (56654878500); Wu, Jianjun (56840894700); Bao, Wenxuan (57394246900)","57869452400; 57221682011; 57200651458; 56654878500; 56840894700; 57394246900","Urban Tree Canopy Mapping Based on Double-Branch Convolutional Neural Network and Multi-Temporal High Spatial Resolution Satellite Imagery","2023","Remote Sensing","15","3","765","","","","10.3390/rs15030765","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147934630&doi=10.3390%2frs15030765&partnerID=40&md5=cdf50656bad56d972d9177773cd1e241","Accurate knowledge of urban forest patterns contributes to well-managed urbanization, but accurate urban tree canopy mapping is still a challenging task because of the complexity of the urban structure. In this paper, a new method that combines double-branch U-NET with multi-temporal satellite images containing phenological information is introduced to accurately map urban tree canopies. Based on the constructed GF-2 image dataset, we developed a double-branch U-NET based on the feature fusion strategy using multi-temporal images to obtain an accuracy improvement with an IOU (intersection over union) of 2.3% and an F1-Score of 1.3% at the pixel level compared to the U-NET using mono-temporal images which performs best in existing studies for urban tree canopy mapping. We also found that the double-branch U-NET based on the feature fusion strategy has better accuracy than the early fusion strategy and decision fusion strategy in processing multi-temporal images for urban tree canopy mapping. We compared the impact of image combinations of different seasons on the urban tree canopy mapping task and found that the combination of summer and autumn images had the highest accuracy in the study area. Our research not only provides a high-precision urban tree canopy mapping method but also provides a direction to improve the accuracy both from the model structure and data potential when using deep learning for urban tree canopy mapping. © 2023 by the authors.","Convolutional neural networks; Deep learning; Forestry; Image enhancement; Image fusion; Mapping; Satellite imagery; Convolutional neural network; Deep learning; Features fusions; Fusion strategies; High spatial resolution satellite imagery; Multi-temporal; Multi-temporal image; Remote-sensing; Urban forests; Urban tree canopies; Remote sensing","data fusion; deep learning; multi-temporal; remote sensing; urban forest","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85147934630"
"Maillet W.; Ouhami M.; Hafiane A.","Maillet, William (57889286300); Ouhami, Maryam (57218310382); Hafiane, Adel (23396705600)","57889286300; 57218310382; 23396705600","Fusion of Satellite Images and Weather Data with Transformer Networks for Downy Mildew Disease Detection","2023","IEEE Access","11","","","5406","5416","10","10.1109/ACCESS.2023.3237082","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147268432&doi=10.1109%2fACCESS.2023.3237082&partnerID=40&md5=5371bc31481acdfee05126cb503aee1a","Crop diseases significantly affect the quantity and quality of agricultural production. In a context where the goal of precision agriculture is to minimize or even avoid the use of pesticides, weather and remote sensing data with deep learning can play a pivotal role in detecting crop diseases, allowing localized treatment of crops. However, combining heterogeneous data such as weather and images remains a hot topic and challenging task. Recent developments in transformer architectures have shown the possibility of fusion of data from different domains, such as text-image. The current trend is to custom only one transformer to create a multimodal fusion model. Conversely, we propose a new approach to realize data fusion using three transformers. In this paper, we first solved the missing satellite images problem, by interpolating them with a ConvLSTM model. Then, we proposed a multimodal fusion architecture that jointly learns to process visual and weather information. The architecture is built from three main components, a Vision Transformer and two transformer-encoders, allowing to fuse both image and weather modalities. The results of the proposed method are promising achieving an overall accuracy of 97%. © 2013 IEEE.","Computer architecture; Deep learning; Image fusion; Image processing; Meteorology; Network architecture; Remote sensing; Satellites; Vegetation; Crop monitoring; Deep learning; Features extraction; Images processing; Index; Remote-sensing; Transformer; Vegetation index; Vegetation mapping; Crops","agriculture; crop monitoring; data fusion; deep learning; image processing; Remote sensing; vegetation indices","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85147268432"
"Cao Z.; Chen S.; Gao F.; Li X.","Cao, Ziyang (57215722368); Chen, Shaohui (36815612100); Gao, Feng (56486548700); Li, Xueke (56400693500)","57215722368; 36815612100; 56486548700; 56400693500","Improving phenological monitoring of winter wheat by considering sensor spectral response in spatiotemporal image fusion","2020","Physics and Chemistry of the Earth","116","","102859","","","","10.1016/j.pce.2020.102859","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081726268&doi=10.1016%2fj.pce.2020.102859&partnerID=40&md5=0201387853e9652f0c2fe4e82aa711f9","Multisensor image fusion results may deviate from accurately reflecting the phenological stages of winter wheat because different responses of satellite sensors to the spectrum lead to the radiometric inconsistency between different remote sensing images. To reduce the effect of the difference in the physical electromagnetic spectrum responses between sensors on monitoring the phenological stages of winter wheat by fusion results, Sensor Spectral Response (SSR) should be considered in spatiotemporal fusion methods. This paper proposes a novel image fusion model by introducing SSR into the Spatial and Temporal Adaptive Reflectance Fusion Model (STARFM). The contribution of SSR in minimizing the effect of the system difference between sensors on image fusion products is parameterized as a calibration factor by matrixing operation, which is able to offset the systematic inconsistency between different sensor images. Linear regression equation for different land cover type and spectral band is established to calculate the weights needed in STARFM for improving the selection of neighboring spectrally similar pixels. This proposed method is evaluated using one satellite datasets including four ZY-3 (5.8 m) and Landsat 8 OLI (30 m) scenes which are acquired during the growth stages of winter wheat from seedling to harvest. Qualitative and quantitative evaluation shows that the proposed method can better monitor the phenology of winter wheat with an improved spatial and temporal consistency with the observations than STARFM. © 2020","Triticum aestivum; Crops; Image enhancement; Reflection; Remote sensing; Satellites; Satellite images; Spectral response; System difference; TOA reflectance; Winter wheat; Landsat; monitoring; phenology; pixel; regression analysis; sensor; spatiotemporal analysis; spectral reflectance; wheat; Image fusion","Phenological monitoring of winter wheat; Sensor spectral response; Spatiotemporal satellite image fusion; System difference; TOA reflectance Prediction","Article","Final","","Scopus","2-s2.0-85081726268"
"Fang S.; Yao Z.; Cao F.","Fang, Shuai (7402422537); Yao, Zhenji (57213268834); Cao, Fengyun (55639620000)","7402422537; 57213268834; 55639620000","Spatio-temporal method of satellite image fusion based on linear model; [线性模型的遥感图像时空融合]","2020","Journal of Image and Graphics","25","3","","579","592","13","10.11834/jig.190279","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091007938&doi=10.11834%2fjig.190279&partnerID=40&md5=30a2a89af62bc5027fa938cb48972aea","Objective: Fine resolution images with high acquisition frequency play a key role in earth surface observation. However, due to technical and budget limitations, current satellite sensors have a tradeoff between spatial and temporal resolutions. No single sensor can simultaneously achieve a fine spatial resolution and a frequent revisit cycle although a large number of remote sensing instruments with different spatial and temporal characteristics have been launched. For example, Landsat sensors have fine spatial resolutions (1560 m) but long revisit frequencies (16 days). By contrast, a moderate resolution imaging spectro-radiometer (MODIS) instrument has a frequent revisit cycle (1 day) but a coarse spatial resolution (2501 000 m). In addition, optical satellite images are frequently contaminated by clouds, cloud shadows, and other atmospheric conditions. These factors limit applications that require data with both high spatial resolution and high temporal resolution. Spatio-temporal satellite image fusion is an effective way to solve this problem. Many spatio-temporal fusion methods have been proposed recently. Existing spatio-temporal data fusion methods are mainly divided into the following three categories: weight function-based methods, unmixing-based methods, and dictionary learning-based methods. All of these methods require at least one pair of observed coarse- and fine-resolution images for training and a coarse-resolution image at prediction date as input data. The output of spatio-temporal fusion methods is a synthetic fine-resolution image at prediction date. All spatio-temporal fusion methods use spatial information from the input fine-resolution images and temporal information from the coarse-resolution images. Unfortunately, existing spatio-temporal fusion methods cannot achieve satisfactory results in accurately predicting land-cover type change with only one pair of fine-coarse prior images. Thus, spatio-temporal satellite image-fusion method based on linear model is proposed to improve the prediction capacity and accuracy, especially for complex changed landscapes. Method: The temporal model is assumed to be independent of sensors, and a linear relationship is used to represent the temporal model between images acquired on different dates. Therefore, the spatio-temporal fusion is transformed into estimating parameters of the temporal model. To accurately capture earth surface change during the period between the input and prediction dates, we carefully analyzed the reasons for the temporal change, and then the temporal change was divided into two types: phonological and land cover type. The former is mainly caused by differences in atmospheric condition, solar angle at different dates, and is global and flat. The latter is mainly caused by the change on the surface, and is local and abrupt. Therefore, parameters of the model from global and local perspectives were estimated. To accurately estimate the parameters, we need to search for similar pixels in the local window to ensure that the pixels used for parameter estimation satisfies spectral consistency. Moreover, considering that the land-cover type may change during the period, we find that the spatial distribution of similar pixels may change at different dates. Therefore, a multi-temporal search strategy is introduced to flexibly select appropriate neighboring pixels. Only pixels that have similar spectral information to the target pixel at both base date and prediction date are considered to be similar pixels, which eliminate the block effect of traditional algorithms. After searching similar pixels and solving the temporal model, the input fine resolution image was combined with the temporal model to predict fine image at target date. The aforementioned strategies make our method achieve good prediction results even if the earth surface changed drastically. Result: We compared our model with two popular spatio-temporal fusion models: spatial and temporal adaptive reflectance fusion model (STARFM) and flexible spatiotemporal data fusion (FSDAF) method on two datasets. The experiment results show that our model outperforms all other methods in both datasets. In the first experiment, the dataset constitutes primarily phenological change. Therefore, all three methods achieve satisfactory results and our method achieves the best result. Quantitative comparisons show that our method achieves high correlation coefficient (CC), peak signal-to-noise ratio (PSNR), structural similarity (SSIM), and lower root mean square error (RMSE). Compared with STARFM and FSDAF, our method increases CC by 0.25% and 0.28%, PSNR by 0.153 1 dB and 1.379 dB, SSIM by 0.79% and 2.3%, and decreases RMSE by 0.05% and 0.69%. In the second experiment, the dataset has undergone dramatic land-cover type change. Therefore, both STARFM and FSDAF have block effects at different levels visually. In quantitative assessment, compared with STARFM and FSDAF, our method increases CC by 6.64% and 3.26%, PSNR by 2.086 dB and 2.510 7 dB, SSIM by 11.76% and 11.2%, and decreases RMSE by 1.45% and 2.08%. Conclusion: In this study, a spatio-temporal satellite image-fusion method based on linear model is proposed. This method uses a linear model to represent the temporal change. By analyzing the characteristics of the temporal change, the temporal model is constrained from local and global perspectives, and the solved model can represent the temporal change accurately. In addition, the method uses a multi-temporal similar pixel search strategy to search for similar pixels more flexibly, thereby eliminating the block effect of previous methods, fully utilizing spectral information in neighboring similar pixels, and improving the accuracy of prediction results. The experimental results show that in terms of visual comparison, compared with two popular spatiotemporal fusion methods, the proposed method can predict land-cover type change more accurately, and our findings are close to the true image. In the quantitative evaluation, our method improves CC, PSNR, RMSE, SSIM, and other indicators to varying degrees in each band. © 2020, Editorial and Publishing Board of Journal of Image and Graphics. All right reserved.","","Linear model; Parameter estimation; Remote sensing; Spatio-temporal fusion; Weight function-based method","Article","Final","","Scopus","2-s2.0-85091007938"
"Sigurdsson J.; Ulfarsson M.O.; Sveinsson J.R.","Sigurdsson, Jakob (7006736374); Ulfarsson, Magnus O. (6507677875); Sveinsson, Johannes R. (7003642214)","7006736374; 6507677875; 7003642214","FUSING SENTINEL-2 SATELLITE IMAGES AND AERIAL RGB IMAGES","2021","International Geoscience and Remote Sensing Symposium (IGARSS)","","","","4444","4447","3","10.1109/IGARSS47720.2021.9554406","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130050774&doi=10.1109%2fIGARSS47720.2021.9554406&partnerID=40&md5=a9f6932471da61c30ed82c7847d60469","Sentinel-2 (S2) is a constellation of two satellites that frequently acquire optical imagery over land and coastal waters. The S2 sensors have three spatial resolutions: 10, 20, and 60 m. Many remote sensing applications require the spatial resolution to be at the highest resolution, i.e., 10 m for S2. To address this demand, researchers have proposed various methods that exploit the spectral and spatial correlation in multispectral data to sharpen the S2 bands to 10 m. In this paper, we fuse S2 data with high-resolution aerial RGB images. A method called S2Sharp is modified to include the red, green, and blue bands of the aerial image and sharpen S2 data to the resolution of the RGB image. The method, termed S2PF, is evaluated using an S2 image and aerial photographs of Reykjavik, Iceland. © 2021 IEEE","Image fusion; Remote sensing; Satellite imagery; Coastal waters; High resolution; Image sharpening; Optical imagery; Remote sensing applications; RGB images; Satellite images; Sentinel-2  constellation; Spatial resolution; Superresolution; Antennas","Data fusion; Image sharpening; RGB images; Sentinel-2 (S2) constellation; Superresolution","Conference paper","Final","","Scopus","2-s2.0-85130050774"
"Rumora L.; Gašparović M.; Miler M.; Medak D.","Rumora, Luka (57211063553); Gašparović, Mateo (36987936900); Miler, Mario (57086384000); Medak, Damir (26642614700)","57211063553; 36987936900; 57086384000; 26642614700","Quality assessment of fusing Sentinel-2 and WorldView-4 imagery on Sentinel-2 spectral band values: a case study of Zagreb, Croatia","2020","International Journal of Image and Data Fusion","11","1","","77","96","19","10.1080/19479832.2019.1683624","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074924779&doi=10.1080%2f19479832.2019.1683624&partnerID=40&md5=aa7d4be24f8ba3650cd094a2600f96c6","Image fusion methods aim at fusing low resolution and high-resolution image to obtain a new image that provides new information for the specific application. The main goal of this article is multitemporal Sentinel-2 image fusion using single WorldView-4 satellite image for urban area monitoring. Fusing those images should provide Sentinel-2 image with similar radiometric band value as original Sentinel-2 image, but with a spatial resolution of WorldView-4. Ehlers, Brovey Transform, Modified Intensity-Hue-Saturation, High-Pass Filtering, Hyperspherical Colour Space and Wavelet resolution merge fusion techniques were used for spatial enhancement of Sentinel-2 images. Original and fused images were first compared using standard statistical parameters, mean, median and standard deviation. Image quality analysis was conducted with different objective image quality measures like root mean square error, peak signal to noise ratio, universal image quality index, structural similarity index, relative dimensionless global error, spatial correlation coefficient, relative average spectral error, spectral angle mapper, multi-scale structural similarity index. Using these quality measures helped in determining the spectral and spatial preservation of fused images. Hyperspherical colour space method was selected as the best method for image fusion of Sentinel-2 and WorldView-4 image-based on standard statistical parameters and quality measures. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.","Croatia; Zagreb; Color; Errors; High pass filters; Image enhancement; Image fusion; Mean square error; Signal to noise ratio; Colour spaces; Intensity hue saturations; Peak signal to noise ratio; Sentinel-2; Spatial correlation coefficients; Spectral value; Structural similarity indices; WorldView-4; data quality; image processing; qualitative analysis; satellite imagery; Sentinel; signal-to-noise ratio; spectral resolution; WorldView; Image quality","hyperspherical colour space; Image fusion; Sentinel-2; spectral values; WorldView-4","Article","Final","","Scopus","2-s2.0-85074924779"
"Zhu X.; Zhan W.; Zhou J.; Chen X.; Liang Z.; Xu S.; Chen J.","Zhu, Xiaolin (55696724800); Zhan, Wenfeng (57221408739); Zhou, Junxiong (57219625237); Chen, Xuehong (35733584200); Liang, Zicong (57218659923); Xu, Shuai (57218659636); Chen, Jin (55717837500)","55696724800; 57221408739; 57219625237; 35733584200; 57218659923; 57218659636; 55717837500","A novel framework to assess all-round performances of spatiotemporal fusion models","2022","Remote Sensing of Environment","274","","113002","","","","10.1016/j.rse.2022.113002","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126832742&doi=10.1016%2fj.rse.2022.113002&partnerID=40&md5=b28b65a1724863d70c5deb2dc9d81561","Spatiotemporal data fusion, as a feasible and low-cost solution for producing time-series satellite images with both high spatial and temporal resolution, has undergone rapid development over the past two decades with more than one hundred spatiotemporal fusion methods developed. Accuracy assessment of fused images is crucial for users to select appropriate methods for real-world applications. However, commonly used assessment metrics do not comprehensively cover multiple aspects of spatiotemporal fused image quality, contain redundant information, and are not comparable across different study areas. To address these problems, this study proposed a novel framework to assess all-round performances of spatiotemporal fusion methods. Four accuracy metrics, including RMSE, AD, Edge, and local binary patterns (LBP), were selected as the optimal set of assessment metrics according to the assessment criteria. These metrics not only quantify the spectral and spatial information in the fused images but also greatly alleviate information redundancy and feature computational simplicity. Furthermore, inspired by Taylor diagrams, we designed an all-round performance assessment (APA) diagram to provide a visual tool for a comprehensive assessment of the performance of spatiotemporal fusion methods, supporting cross-comparison of different spatiotemporal fusion methods by considering the effects of input data and land surface characteristics. The case study in three typical sites demonstrated that the proposed framework can better differentiate the performances of six spatiotemporal fusion methods. This new framework can promote the cross-comparison of different spatiotemporal fusion methods and guide users to select suitable methods for real-world applications, as well as facilitate the establishment of a standard accuracy assessment procedure for spatiotemporal fusion methods. © 2022 The Authors","Accuracy assessment; Assessment metric; Fused images; Fusion methods; Intercomparisons; Modeling performance; Performance; Real-world; Spatio-temporal fusions; Taylor diagrams; accuracy assessment; assessment method; land surface; performance assessment; satellite data; time series analysis; Image fusion","Accuracy assessment; Inter-comparison; Model performance; Spatiotemporal fusion; Taylor diagram","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85126832742"
"Li W.; Yang C.; Peng Y.; Du J.","Li, Weisheng (36067507500); Yang, Chao (57263586100); Peng, Yidong (57192995836); Du, Jiao (55416429400)","36067507500; 57263586100; 57192995836; 55416429400","A Pseudo-Siamese Deep Convolutional Neural Network for Spatiotemporal Satellite Image Fusion","2022","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","15","","","1205","1220","15","10.1109/JSTARS.2022.3143464","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123345120&doi=10.1109%2fJSTARS.2022.3143464&partnerID=40&md5=97ac49fc1d4ed777a94531d0b2bae43f","Due to technology and cost limitations, it is challenging to obtain high temporal and spatial resolution images from a single satellite spectrometer, which significantly limits the specific application of such remote sensing images in earth science. To solve the problem that the existing algorithms cannot effectively balance the spatial detail preservation and spectral change reconstruction, a pseudo-Siamese deep convolutional neural network (PDCNN) for spatiotemporal fusion is proposed in this article. The method proposes a pseudo-Siamese network framework model for fusion. This framework has two independent and equal feature extraction streams, but the weights are not shared. The two feature extraction streams process the image information at the previous and later moments and reconstruct the fine image of the corresponding time to fully extract the image information at different times. In the feature extraction stream, the multiscale mechanism and dilated convolution of flexible perception are designed, which can flexibly obtain feature image information and improve the model reconstruction accuracy. In addition, an attention mechanism is introduced to improve the weight of the crucial information for the remote sensing images. Adding a residual connection enhances the reuse of the initial feature information in shallow networks and reduces the loss of feature information in deep networks. Finally, the fine images obtained from the two feature extraction streams are weighted and fused to obtain the final predicted image. The subjective and objective results demonstrate that the PDCNN can effectively reconstruct the fusion image with higher quality. © 2022 Institute of Electrical and Electronics Engineers. All rights reserved.","Convolution; Deep neural networks; Extraction; Image enhancement; Image fusion; Image reconstruction; Image resolution; Media streaming; Object detection; Remote sensing; Convolutional neural network; Features extraction; Images reconstruction; Multiscale mechanisms; Pseudo-siamese network; Remote-sensing; Spatial resolution; Spatio-temporal fusions; Spatiotemporal phenomenon; Streaming medium; artificial neural network; image analysis; remote sensing; satellite data; satellite imagery; spatiotemporal analysis; Feature extraction","Convolutional neural networks; Feature extraction; Image reconstruction; Remote sensing; Spatial resolution; Spatiotemporal phenomena; Streaming media","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85123345120"
"Wang F.; Zhang J.; Zou B.","Wang, Feifei (57218564557); Zhang, Junping (55961672900); Zou, Bin (55684454000)","57218564557; 55961672900; 55684454000","Multispectral and panchromatic images fusion based on nsct and gs transform","2020","Proceedings of SPIE - The International Society for Optical Engineering","11392","","113921A","","","","10.1117/12.2558052","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088163961&doi=10.1117%2f12.2558052&partnerID=40&md5=b6435cbac8e84bc622df54adf8dff053","The spatial and spectral resolution of remote sensing images are mutually restricted due to the limitation of sensor technology. Multispectral (MS) image has high spectral resolution, but low spatial resolution. While, panchromatic (PAN) image can provide high spatial resolution. Fusion of MS and PAN images is to get MS image with high resolution, which is a hot research in the field of remote sensing image processing. In this paper, a fusion algorithm of MS and PAN images is presented based on non-subsampled contourlet transform (NSCT) and Gram-Schmidt (GS) transform. Firstly, the low-resolution PAN image is synthesized by weighing each band of MS image whose weight coefficients are obtained by least squares estimation. MS image is decomposed by GS transform with the first GS component of the synthetic low-resolution PAN image. Secondly, one-level and three-level NSCT decomposition is performed on the synthetic low-resolution PAN image and PAN image, respectively. Low-frequency coefficients of low-resolution PAN image are as ones of the generated PAN image. High-frequency coefficients of first level decomposition of lowresolution PAN image and PAN image are fused according to region energy. The other level high-frequency coefficients of PAN image are as ones of the generated PAN image. Thirdly, the generated PAN image is reconstructed by the inverse NSCT with these coefficients. Lastly, inverse GS transform is performed to gain improved MS image by replacing the first GS component with the generated PAN image. The experiments conducted on Quickbird satellite images show that the proposed method is superior to the other typical methods, which improves the spatial resolution and has smaller spectral distortion. © 2020 SPIE.","Image fusion; Image resolution; Inverse problems; Remote sensing; Spectral resolution; Spectroscopy; High spatial resolution; High spectral resolution; Least squares estimation; Multispectral images; Non subsampled contourlet transform (NSCT); Panchromatic (Pan) image; Remote sensing image processing; Remote sensing images; Image enhancement","Gram-schmidt (gs) transform; Image fusion; Multispectral image; Non-subsampled contourlet transform (NSCT)","Conference paper","Final","","Scopus","2-s2.0-85088163961"
"Xu Y.; Li J.; Du C.; Chen H.","Xu, Yingxiao (57205201007); Li, Jun (56023443800); Du, Chun (50061333500); Chen, Hao (57056710000)","57205201007; 56023443800; 50061333500; 57056710000","NBR-Net: A Nonrigid Bidirectional Registration Network for Multitemporal Remote Sensing Images","2022","IEEE Transactions on Geoscience and Remote Sensing","60","","5620715","","","","10.1109/TGRS.2022.3162094","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128803124&doi=10.1109%2fTGRS.2022.3162094&partnerID=40&md5=5f674dc63ed4d37ef2629f76fd635f14","Remote sensing image registration is the basis of change detection, environmental monitoring, and image fusion. Under severe appearance differences, feature-based methods have difficulty in finding sufficient feature matches to solve the global transformation and tackling the local deformation caused by height undulations and building shadows. By contrast, nonrigid registration methods are more flexible than feature-based matching methods, while often ignoring the reversibility between images, resulting in misalignment and inconsistency. To this end, this article proposes a nonrigid bidirectional registration network (NBR-Net) to estimate the flow-based dense correspondence for remote sensing images. We first propose an external cyclic registration network to strengthen the registration reversibility and geometric consistency by registering Image A to Image B and then reversely registering back to Image A. Second, we design an internal iterative refinement strategy to optimize the rough predicted flow caused by large distortion and viewpoint difference. Extensive experiments demonstrate that our method shows a performance superior to the state-of-the-art models on the multitemporal satellite image dataset. Furthermore, we attempt to extend our method to heterogeneous remote sensing image registration, which is more common in the real world. Therefore, we test our pretrained model in a satellite and unmanned aerial vehicle (UAV) image registration task. Due to the cyclic registration mechanism and coarse-to-fine refinement strategy, the proposed approach obtains the best performance on two GPS-denied UAV image datasets. Our code will be released at https://github.com/xuyingxiao/ NBR-Net.  © 1980-2012 IEEE.","Antennas; Image fusion; Image registration; Iterative methods; Remote sensing; Cycle consistency; Images registration; Iterative refinement; Nonrigid; Remote sensing image registration; Remote sensing images; Reversibility; Unmanned aerial vehicle  image registration; Vehicle images; artificial neural network; data set; image analysis; remote sensing; satellite imagery; unmanned vehicle; Unmanned aerial vehicles (UAV)","Cycle consistency; iterative refinement; nonrigid; remote sensing image registration; reversibility; unmanned aerial vehicle (UAV) image registration","Article","Final","","Scopus","2-s2.0-85128803124"
