ID,source_Scopus,source_IEEE,source_arXiv,Term1,Term2,Group,count_Scopus,count_IEEE,YearFrom,URL_Scopus,URL_IEEE
1,TRUE,TRUE,TRUE,super resolution,remote sensing,sr-sat,1149,817,2015,Scopus,IEEE
2,TRUE,TRUE,TRUE,super resolution,satellite image,sr-sat,253,42,2015,Scopus,IEEE
3,TRUE,TRUE,TRUE,super resolution,sentinel-2,sr-sat,117,45,2015,Scopus,IEEE
4,TRUE,TRUE,TRUE,super resolution,sentinel-3,sr-sat,6,6,2015,Scopus,IEEE
5,TRUE,TRUE,TRUE,super resolution,synthetic aperture radar,sr-sat,282,187,2015,Scopus,IEEE
6,TRUE,TRUE,TRUE,super resolution,generative adversarial networks,sr-gan,1313,388,2015,Scopus,IEEE
7,TRUE,TRUE,TRUE,super resolution,sea ice,sr-ice,10,7,2015,Scopus,IEEE
8,TRUE,TRUE,TRUE,super resolution,arctic,sr-ice,8,12,2015,Scopus,IEEE
9,TRUE,TRUE,TRUE,super resolution,sea ice roughness,sr-ice,1,0,2015,Scopus,IEEE
10,TRUE,TRUE,TRUE,super resolution,sea ice thickness,sr-ice,0,1,2015,Scopus,IEEE
11,TRUE,TRUE,TRUE,sentinel-2,generative adversarial networks,sat-gan,63,25,2015,Scopus,IEEE
12,TRUE,TRUE,TRUE,sentinel-2,sea ice,sat-ice,60,2,2015,Scopus,IEEE
13,TRUE,TRUE,TRUE,sentinel-2,arctic,sat-ice,113,7,2015,Scopus,IEEE
14,TRUE,TRUE,TRUE,sentinel-2,sea ice roughness,sat-ice,0,0,2015,Scopus,IEEE
15,TRUE,TRUE,TRUE,sentinel-2,sea ice thickness,sat-ice,2,0,2015,Scopus,IEEE
16,TRUE,TRUE,TRUE,sentinel-3,generative adversarial networks,sat-gan,0,0,2015,Scopus,IEEE
17,TRUE,TRUE,TRUE,sentinel-3,sea ice,sat-ice,28,9,2015,Scopus,IEEE
18,TRUE,TRUE,TRUE,sentinel-3,arctic,sat-ice,36,5,2015,Scopus,IEEE
19,TRUE,TRUE,TRUE,sentinel-3,sea ice roughness,sat-ice,0,0,2015,Scopus,IEEE
